지역,분류,세부유형,이름,주소,거리(미터)
서울 송파구 석촌동,교육환경,학교,서울석촌초등학교,서울 송파구 가락로11길 26,103
서울 송파구 석촌동,교육환경,학교,서울가락초등학교,서울 송파구 송파대로37길 45,514
서울 송파구 석촌동,교육환경,학교,서울해누리초등학교,서울 송파구 송파대로37길 95,554
서울 송파구 석촌동,교육환경,학원,YBM잉글루 송파석촌 제1캠퍼스,서울 송파구 가락로11길 33,48
서울 송파구 석촌동,교육환경,학원,한울림음악학원,서울 송파구 가락로11길 23,131
서울 송파구 석촌동,교육환경,학원,이투스247학원 송파점,서울 송파구 백제고분로 354,187
서울 송파구 석촌동,교통여건,,석촌역 9호선,서울 송파구 백제고분로 지하 368,315
서울 송파구 석촌동,교통여건,,석촌역 8호선,서울 송파구 송파대로 지하 439,359
서울 송파구 석촌동,교통여건,,석촌고분역 9호선,서울 송파구 백제고분로 지하 274,644
서울 송파구 석촌동,편의여건,대형마트,롯데슈퍼프레시 석촌점,서울 송파구 백제고분로34길 3,448
서울 송파구 석촌동,편의여건,대형마트,GS더프레시 송파석촌호수점,서울 송파구 백제고분로33길 25,474
서울 송파구 석촌동,편의여건,대형마트,이마트에브리데이 송파점,서울 송파구 송파대로 345,831
서울 송파구 석촌동,편의여건,병원,스타이비인후과의원,서울 송파구 백제고분로 365,299
서울 송파구 석촌동,편의여건,병원,우림영상의학과의원,서울 송파구 백제고분로 365,300
서울 송파구 석촌동,편의여건,병원,닥터스피부과의원 잠실송파점,서울 송파구 백제고분로 364,302
서울 송파구 석촌동,자연환경,,아름어린이공원,서울 송파구 석촌동 289-3,305
서울 송파구 석촌동,자연환경,,오봉산공원,서울 송파구 석촌동,313
서울 송파구 석촌동,자연환경,,돌마리어린이공원,서울 송파구 가락로7길 4,341
서울 송파구 석촌동,미래가치,,가락시영아파트재건축조합,서울 송파구 송파대로 425,330
서울 송파구 석촌동,미래가치,,가락시영아파트주택재건축정비사업조합,서울 송파구 가락로 94,412
서울 송파구 석촌동,미래가치,,가락삼익맨숀재건축아파트 (예정),서울 송파구 오금로32길 5,1518
서울 송파구 석촌동,메타,검색좌표,위도,37.5035646306702,
서울 송파구 석촌동,메타,검색좌표,경도,127.103667384036,
