구,2018_1인당_GRDP,2019_1인당_GRDP,2020_1인당_GRDP,2021_1인당_GRDP,2022_1인당_GRDP
종로구,188700274.8027922,197400311.3628922,195439011.044303,215590763.9688144,225336250.3367037
중구,436563822.9634381,436129176.1913135,447818954.9522784,502446842.2530295,550269044.6152081
용산구,61540821.73895304,63042098.82333748,64161478.87755728,69146448.36378194,76345703.09151077
성동구,41534665.97990918,43793406.67165083,45948243.7896208,54441210.63853051,58117106.24006883
광진구,18964154.33497816,19715378.82999248,20481348.70275389,21277811.96561806,22919459.5333265
동대문구,23709226.04833973,23306344.22612341,24227335.62269267,25614651.45480475,25424141.90005119
중랑구,11539830.01222599,12583910.41330866,13076155.89070032,13699348.02301696,13552855.38524632
성북구,13644264.85468642,13632122.68880953,14028962.81450199,14616648.71791376,14616481.59209383
강북구,10453339.11400833,10946058.32638222,11474938.13569386,12364218.36113471,13842782.37969513
도봉구,10348202.39485554,10584409.66418478,11455839.27224074,11771179.78038219,11630948.85489619
노원구,12282519.70227671,12859563.41207847,13192178.08406321,14246383.11589953,14537081.65522997
은평구,10436784.60257635,10907732.1864178,11601793.64230037,11918939.25264003,12289214.66547103
서대문구,25733131.11303702,26741344.36567638,25992608.80873938,28443738.33788994,27463799.5456167
마포구,52690906.6438209,53535920.1917471,55021020.90305821,60185657.77451503,61688632.40012248
양천구,15674669.17301263,15957080.58881426,16301159.28795647,17438085.89371058,18664588.63539109
강서구,28501614.45036621,29120953.14346461,28916265.71724575,31756268.02445116,36179392.93955499
구로구,35678484.6038414,37158679.11173018,35713582.8046096,38277757.06792857,41408887.76295475
금천구,77611091.20899454,80426785.00516242,76341210.88627514,80117529.83980629,86626226.2270507
영등포구,88501669.9702676,92904467.9864135,102467998.1441796,118685404.1326189,125738136.3276687
동작구,16324748.09775639,16287144.91137457,17825453.46787127,18456050.75513992,19503800.91795754
관악구,10410212.675948,10799353.99567784,11504628.25836647,12206263.30215898,12938099.77934106
서초구,83224012.52501923,85864049.53264369,88277254.23926345,97816061.82133615,98548141.6375526
강남구,142725114.3020497,151712823.672459,153117568.9957817,165164840.0892525,168569944.3740252
송파구,40777098.08509786,41441508.56620593,45235942.81864774,49068917.78934131,50827713.1858772
강동구,22001291.9059085,22673405.39067645,21495646.53295919,21554500.59167539,22257759.6183063
