전출지,전입지,계
전국,서울,893566
전국,서울 종로구,14483
전국,서울 중구,14333
전국,서울 용산구,20930
전국,서울 성동구,25915
전국,서울 광진구,34019
전국,서울 동대문구,34346
전국,서울 중랑구,32574
전국,서울 성북구,35939
전국,서울 강북구,23457
전국,서울 도봉구,21690
전국,서울 노원구,35749
전국,서울 은평구,37371
전국,서울 서대문구,28045
전국,서울 마포구,37769
전국,서울 양천구,28566
전국,서울 강서구,53856
전국,서울 구로구,31334
전국,서울 금천구,24233
전국,서울 영등포구,43485
전국,서울 동작구,41605
전국,서울 관악구,70452
전국,서울 서초구,35475
전국,서울 강남구,59730
전국,서울 송파구,59246
전국,서울 강동구,48964
서울,전국,898994
서울,서울,535558
서울,서울 종로구,8304
서울,서울 중구,8923
서울,서울 용산구,13141
서울,서울 성동구,15932
서울,서울 광진구,19934
서울,서울 동대문구,19645
서울,서울 중랑구,21837
서울,서울 성북구,21050
서울,서울 강북구,15664
서울,서울 도봉구,14486
서울,서울 노원구,21100
서울,서울 은평구,23913
서울,서울 서대문구,15425
서울,서울 마포구,22533
서울,서울 양천구,18201
서울,서울 강서구,32326
서울,서울 구로구,17678
서울,서울 금천구,13389
서울,서울 영등포구,25535
서울,서울 동작구,22975
서울,서울 관악구,36605
서울,서울 서초구,22034
서울,서울 강남구,36694
서울,서울 송파구,36365
서울,서울 강동구,31869
서울,부산,10704
서울,부산 중구,170
서울,부산 서구,312
서울,부산 동구,274
서울,부산 영도구,252
서울,부산 부산진구,1277
서울,부산 동래구,808
서울,부산 남구,910
서울,부산 북구,626
서울,부산 해운대구,1783
서울,부산 사하구,628
서울,부산 금정구,747
서울,부산 강서구,418
서울,부산 연제구,700
서울,부산 수영구,909
서울,부산 사상구,448
서울,부산 기장군,442
서울,대구,7622
서울,대구 중구,491
서울,대구 동구,1242
서울,대구 서구,365
서울,대구 남구,436
서울,대구 북구,1198
서울,대구 수성구,1888
서울,대구 달서구,1403
서울,대구 달성군,556
서울,대구 군위군,43
서울,인천,33717
서울,인천 중구,3289
서울,인천 동구,311
서울,인천 미추홀구,3792
서울,인천 연수구,4863
서울,인천 남동구,3695
서울,인천 부평구,5488
서울,인천 계양구,3109
서울,인천 서구,8129
서울,인천 강화군,842
서울,인천 옹진군,199
서울,광주,5687
서울,광주 동구,613
서울,광주 서구,1371
서울,광주 남구,808
서울,광주 북구,1628
서울,광주 광산구,1267
서울,대전,9129
서울,대전 동구,1124
서울,대전 중구,1048
서울,대전 서구,3006
서울,대전 유성구,3235
서울,대전 대덕구,716
서울,울산,3534
서울,울산 중구,606
서울,울산 남구,1254
서울,울산 동구,421
서울,울산 북구,568
서울,울산 울주군,685
서울,세종,3505
서울,세종,3505
서울,경기,209687
서울,경기 수원시,13806
서울,경기 성남시,16231
서울,경기 의정부시,9666
서울,경기 안양시,9006
서울,경기 부천시,11226
서울,경기 광명시,5533
서울,경기 평택시,5885
서울,경기 동두천시,1074
서울,경기 안산시,5097
서울,경기 고양시,21359
서울,경기 과천시,2301
서울,경기 구리시,4398
서울,경기 남양주시,14192
서울,경기 오산시,2322
서울,경기 시흥시,5301
서울,경기 군포시,2849
서울,경기 의왕시,1731
서울,경기 하남시,9727
서울,경기 용인시,15116
서울,경기 파주시,7829
서울,경기 이천시,2816
서울,경기 안성시,2195
서울,경기 김포시,8819
서울,경기 화성시,10156
서울,경기 광주시,5606
서울,경기 양주시,7391
서울,경기 포천시,1934
서울,경기 여주시,1262
서울,경기 연천군,529
서울,경기 가평군,1277
서울,경기 양평군,3053
서울,강원,13997
서울,강원 춘천시,2925
서울,강원 원주시,3254
서울,강원 강릉시,1649
서울,강원 동해시,540
서울,강원 태백시,205
서울,강원 속초시,884
서울,강원 삼척시,475
서울,강원 홍천군,720
서울,강원 횡성군,507
서울,강원 영월군,301
서울,강원 평창군,467
서울,강원 정선군,249
서울,강원 철원군,426
서울,강원 화천군,264
서울,강원 양구군,174
서울,강원 인제군,359
서울,강원 고성군,256
서울,강원 양양군,342
서울,충북,9843
서울,충북 청주시,4834
서울,충북 충주시,1529
서울,충북 제천시,847
서울,충북 보은군,130
서울,충북 옥천군,168
서울,충북 영동군,249
서울,충북 증평군,229
서울,충북 진천군,607
서울,충북 괴산군,289
서울,충북 음성군,794
서울,충북 단양군,167
서울,충남,15164
서울,충남 천안시,5214
서울,충남 공주시,560
서울,충남 보령시,577
서울,충남 아산시,2632
서울,충남 서산시,1245
서울,충남 논산시,531
서울,충남 계룡시,420
서울,충남 당진시,1239
서울,충남 금산군,234
서울,충남 부여군,305
서울,충남 서천군,317
서울,충남 청양군,184
서울,충남 홍성군,715
서울,충남 예산군,515
서울,충남 태안군,476
서울,전특,8601
서울,전특 전주시,3317
서울,전특 군산시,1125
서울,전특 익산시,1232
서울,전특 정읍시,533
서울,전특 남원시,384
서울,전특 김제시,310
서울,전특 완주군,468
서울,전특 진안군,113
서울,전특 무주군,128
서울,전특 장수군,87
서울,전특 임실군,128
서울,전특 순창군,176
서울,전특 고창군,323
서울,전특 부안군,277
서울,전남,7420
서울,전남 목포시,843
서울,전남 여수시,1057
서울,전남 순천시,1070
서울,전남 나주시,529
서울,전남 광양시,602
서울,전남 담양군,140
서울,전남 곡성군,149
서울,전남 구례군,147
서울,전남 고흥군,317
서울,전남 보성군,156
서울,전남 화순군,186
서울,전남 장흥군,147
서울,전남 강진군,156
서울,전남 해남군,240
서울,전남 영암군,238
서울,전남 무안군,397
서울,전남 함평군,126
서울,전남 영광군,270
서울,전남 장성군,191
서울,전남 완도군,156
서울,전남 진도군,126
서울,전남 신안군,177
서울,경북,9738
서울,경북 포항시,1857
서울,경북 경주시,961
서울,경북 김천시,632
서울,경북 안동시,790
서울,경북 구미시,1326
서울,경북 영주시,586
서울,경북 영천시,280
서울,경북 상주시,379
서울,경북 문경시,427
서울,경북 경산시,916
서울,경북 의성군,126
서울,경북 청송군,67
서울,경북 영양군,64
서울,경북 영덕군,99
서울,경북 청도군,76
서울,경북 고령군,55
서울,경북 성주군,84
서울,경북 칠곡군,257
서울,경북 예천군,295
서울,경북 봉화군,132
서울,경북 울진군,259
서울,경북 울릉군,70
서울,경남,9314
서울,경남 창원시,2864
서울,경남 진주시,1192
서울,경남 통영시,353
서울,경남 사천시,372
서울,경남 김해시,1267
서울,경남 밀양시,252
서울,경남 거제시,845
서울,경남 양산시,830
서울,경남 의령군,77
서울,경남 함안군,111
서울,경남 창녕군,127
서울,경남 고성군,102
서울,경남 남해군,140
서울,경남 하동군,134
서울,경남 산청군,111
서울,경남 함양군,161
서울,경남 거창군,271
서울,경남 합천군,105
서울,제주,5774
서울,제주 제주시,3924
서울,제주 서귀포시,1850
서울 종로구,전국,14421
서울 종로구,서울,9139
서울 종로구,서울 종로구,1493
서울 종로구,서울 중구,437
서울 종로구,서울 용산구,282
서울 종로구,서울 성동구,276
서울 종로구,서울 광진구,187
서울 종로구,서울 동대문구,496
서울 종로구,서울 중랑구,187
서울 종로구,서울 성북구,974
