전출지,전입지,계
전국,서울,635272
전국,서울 종로구,10273
전국,서울 중구,9497
전국,서울 용산구,14793
전국,서울 성동구,20141
전국,서울 광진구,25948
전국,서울 동대문구,30289
전국,서울 중랑구,20940
전국,서울 성북구,28844
전국,서울 강북구,15640
전국,서울 도봉구,14111
전국,서울 노원구,24976
전국,서울 은평구,24731
전국,서울 서대문구,20428
전국,서울 마포구,26543
전국,서울 양천구,19555
전국,서울 강서구,36825
전국,서울 구로구,22259
전국,서울 금천구,15916
전국,서울 영등포구,29448
전국,서울 동작구,29192
전국,서울 관악구,51557
전국,서울 서초구,25976
전국,서울 강남구,36873
전국,서울 송파구,40858
전국,서울 강동구,39659
서울,전국,625452
서울,서울,371762
서울,서울 종로구,5632
서울,서울 중구,5622
서울,서울 용산구,8962
서울,서울 성동구,12242
서울,서울 광진구,15304
서울,서울 동대문구,17890
서울,서울 중랑구,13833
서울,서울 성북구,16755
서울,서울 강북구,9808
서울,서울 도봉구,9107
서울,서울 노원구,14090
서울,서울 은평구,15371
서울,서울 서대문구,10765
서울,서울 마포구,15369
서울,서울 양천구,12138
서울,서울 강서구,21703
서울,서울 구로구,12161
서울,서울 금천구,8408
서울,서울 영등포구,16954
서울,서울 동작구,14959
서울,서울 관악구,26318
서울,서울 서초구,16172
서울,서울 강남구,21721
서울,서울 송파구,24520
서울,서울 강동구,25958
서울,부산,8051
서울,부산 중구,103
서울,부산 서구,265
서울,부산 동구,222
서울,부산 영도구,205
서울,부산 부산진구,948
서울,부산 동래구,631
서울,부산 남구,681
서울,부산 북구,401
서울,부산 해운대구,1354
서울,부산 사하구,518
서울,부산 금정구,617
서울,부산 강서구,306
서울,부산 연제구,541
서울,부산 수영구,589
서울,부산 사상구,302
서울,부산 기장군,368
서울,대구,5709
서울,대구 중구,366
서울,대구 동구,815
서울,대구 서구,244
서울,대구 남구,315
서울,대구 북구,912
서울,대구 수성구,1444
서울,대구 달서구,1141
서울,대구 달성군,430
서울,대구 군위군,42
서울,인천,24064
서울,인천 중구,2344
서울,인천 동구,185
서울,인천 미추홀구,2827
서울,인천 연수구,3590
서울,인천 남동구,2372
서울,인천 부평구,3843
서울,인천 계양구,1832
서울,인천 서구,6382
서울,인천 강화군,544
서울,인천 옹진군,145
서울,광주,4206
서울,광주 동구,406
서울,광주 서구,1071
서울,광주 남구,555
서울,광주 북구,1186
서울,광주 광산구,988
서울,대전,7228
서울,대전 동구,910
서울,대전 중구,852
서울,대전 서구,2391
서울,대전 유성구,2571
서울,대전 대덕구,504
서울,울산,2602
서울,울산 중구,456
서울,울산 남구,917
서울,울산 동구,316
