,자치구,2020년 1월,2020년 2월,2020년 3월,2020년 4월,2020년 5월,2020년 6월,2020년 7월,2020년 8월,2020년 9월,2020년 10월,2020년 11월,2020년 12월,2021년 1월,2021년 2월,2021년 3월,2021년 4월,2021년 5월,2021년 6월,2021년 7월,2021년 8월,2021년 9월,2021년 10월,2021년 11월,2021년 12월,2022년 1월,2022년 2월,2022년 3월,2022년 4월,2022년 5월,2022년 6월,2022년 7월,2022년 8월,2022년 9월,2022년 10월,2022년 11월,2022년 12월,2023년 1월,2023년 2월,2023년 3월,2023년 4월,2023년 5월,2023년 6월,2023년 7월,2023년 8월,2023년 9월,2023년 10월,2023년 11월,2023년 12월,2024년 1월,2024년 2월,2024년 3월,2024년 4월,2024년 5월,2024년 6월,2024년 7월,2024년 8월,2024년 9월,2024년 10월,2024년 11월,2024년 12월,2025년 1월,2025년 2월,2025년 3월,2025년 4월,2025년 5월,2025년 6월,2025년 7월,2025년 8월,2025년 9월
0,종로구,1022319.0,1023083.0,1023917.0,1023250.0,1021861.0,1022514.0,1029542.0,1033625.0,1036486.0,1036681.0,1037986.0,1039903.0,1041444.0,1044347.0,1045819.0,1047819.0,1048722.0,1050750.0,986488.0,993400.0,1000450.0,1010325.0,1019263.0,1020950.0,1020513.0,1018100.0,1016508.0,1015970.0,1015670.0,1014683.0,1010645.0,1002308.0,990920.0,977845.0,962933.0,937788.0,913802.0,905123.0,896901.0,893358.0,891642.0,891599.0,892493.0,894653.0,900209.0,904562.0,905864.0,905173.0,903061.0,903002.0,903624.0,903673.0,906198.0,913039.0,925515.0,934165.0,940360.0,945128.0,951149.0,952241.0,951790.0,952541.0,956262.0,965994.0,970175.0,980608.0,990717.0,995102.0,998584.0
1,중구,795743.0,796557.0,797357.0,796986.0,796157.0,796086.0,802257.0,806143.0,807771.0,808743.0,809900.0,812157.0,814614.0,820100.0,822257.0,823314.0,824371.0,829486.0,1055520.0,1062180.0,1069810.0,1079570.0,1088060.0,1089582.0,1089782.0,1089122.0,1087792.0,1087422.0,1086812.0,1085282.0,1081042.0,1071484.0,1062295.0,1047665.0,1024874.0,985688.0,974875.0,963031.0,955210.0,950305.0,950437.0,948484.0,949390.0,952701.0,959192.0,963927.0,965541.0,964592.0,957545.0,956937.0,957433.0,958649.0,960727.0,966930.0,977510.0,986921.0,992785.0,997636.0,1002000.0,1003636.0,1003692.0,1003953.0,1005262.0,1004414.0,1006207.0,1014577.0,1023315.0,1027423.0,1037180.0
2,용산구,1389939.0,1392207.0,1393524.0,1392439.0,1389780.0,1389963.0,1399354.0,1406439.0,1411232.0,1412659.0,1413768.0,1416951.0,1421012.0,1427366.0,1430780.0,1434768.0,1439390.0,1445073.0,1691671.0,1707042.0,1722671.0,1744636.0,1762294.0,1769182.0,1770601.0,1769930.0,1766951.0,1769734.0,1773818.0,1774720.0,1773671.0,1772168.0,1764161.0,1751811.0,1728147.0,1685343.0,1651897.0,1644856.0,1632281.0,1626904.0,1629171.0,1630637.0,1634692.0,1644671.0,1655144.0,1664897.0,1671664.0,1671205.0,1716093.0,1714947.0,1716424.0,1721550.0,1728967.0,1746106.0,1775901.0,1803139.0,1822305.0,1836457.0,1845894.0,1850623.0,1854954.0,1859119.0,1877510.0,1907684.0,1920691.0,1961625.0,1994513.0,2007329.0,2021507.0
3,동북권,585414.0,586815.0,588416.0,589155.0,588821.0,589687.0,596352.0,600137.0,602112.0,603028.0,603947.0,605798.0,608112.0,612746.0,615890.0,618404.0,621046.0,626294.0,850294.0,857434.0,863398.0,868135.0,871360.0,872612.0,872382.0,871518.0,870611.0,870152.0,869928.0,868980.0,866076.0,861189.0,854392.0,843836.0,824613.0,795499.0,776981.0,768977.0,762030.0,757427.0,755881.0,755847.0,757719.0,761441.0,765663.0,768659.0,770028.0,769823.0,770728.0,769497.0,769482.0,770345.0,771987.0,776866.0,785883.0,796702.0,803741.0,807596.0,809711.0,810364.0,810319.0,810583.0,813755.0,819965.0,822410.0,831032.0,840150.0,844186.0,850066.0
4,성동구,899118.0,900431.0,901725.0,901549.0,900892.0,902245.0,910716.0,916402.0,918667.0,920020.0,921108.0,923402.0,927029.0,934049.0,938029.0,940000.0,942235.0,947157.0,1344052.0,1351519.0,1357976.0,1363538.0,1367371.0,1368833.0,1368995.0,1368362.0,1367410.0,1366929.0,1367605.0,1367343.0,1366362.0,1365448.0,1361776.0,1353681.0,1335924.0,1311038.0,1297276.0,1287462.0,1277910.0,1272186.0,1272219.0,1272495.0,1278805.0,1291662.0,1302752.0,1310271.0,1315167.0,1318738.0,1317848.0,1315205.0,1315948.0,1320495.0,1329505.0,1347105.0,1381157.0,1418900.0,1436781.0,1448295.0,1456752.0,1458733.0,1460167.0,1462662.0,1479133.0,1491938.0,1503659.0,1545796.0,1587493.0,1604327.0,1630161.0
5,광진구,1014402.0,1014671.0,1014598.0,1013671.0,1012195.0,1013329.0,1021037.0,1025866.0,1029256.0,1030878.0,1032220.0,1034524.0,1038378.0,1047439.0,1053024.0,1056524.0,1059476.0,1063805.0,1234964.0,1241414.0,1245636.0,1249686.0,1252843.0,1254029.0,1254100.0,1253471.0,1252771.0,1252357.0,1252850.0,1251629.0,1250286.0,1248193.0,1245029.0,1238043.0,1221800.0,1194356.0,1162454.0,1146302.0,1129330.0,1118575.0,1112899.0,1113575.0,1117010.0,1123707.0,1129493.0,1136217.0,1140100.0,1140052.0,1131133.0,1131445.0,1133833.0,1135887.0,1138248.0,1148567.0,1164288.0,1185288.0,1200996.0,1208683.0,1211554.0,1214547.0,1216282.0,1218316.0,1228955.0,1221661.0,1228285.0,1249742.0,1272970.0,1282997.0,1298775.0
6,동대문구,652774.0,654802.0,656208.0,656472.0,655708.0,657179.0,665679.0,669858.0,673406.0,674415.0,675151.0,677453.0,680226.0,686179.0,689066.0,691019.0,692849.0,695896.0,864442.0,869689.0,876267.0,879670.0,881262.0,882126.0,882004.0,881426.0,880786.0,880830.0,881204.0,879859.0,877408.0,872209.0,865913.0,855997.0,836167.0,800727.0,780762.0,770330.0,761786.0,756373.0,753798.0,753166.0,755627.0,761009.0,767156.0,772854.0,775090.0,775014.0,780581.0,779234.0,779541.0,780090.0,781202.0,786430.0,796239.0,805341.0,811160.0,814095.0,814865.0,814888.0,814047.0,813512.0,813977.0,838378.0,839364.0,841283.0,845921.0,849663.0,854871.0
7,중랑구,451372.0,452181.0,453085.0,453660.0,453798.0,454000.0,458202.0,461213.0,463415.0,464234.0,465032.0,465979.0,467638.0,469957.0,471404.0,472968.0,474011.0,476457.0,638929.0,644734.0,649806.0,652286.0,654594.0,655869.0,656223.0,656400.0,656097.0,655840.0,655669.0,655286.0,654286.0,651275.0,646526.0,639126.0,625811.0,606670.0,595116.0,587933.0,583138.0,580261.0,578602.0,578299.0,579331.0,581055.0,583893.0,585420.0,585820.0,585423.0,587626.0,586611.0,586095.0,585784.0,586242.0,589123.0,593191.0,598649.0,602370.0,605159.0,606419.0,606335.0,605751.0,605461.0,605551.0,616156.0,616182.0,616724.0,617758.0,618398.0,619026.0
8,성북구,589518.0,590634.0,592536.0,592268.0,591607.0,591839.0,597393.0,601402.0,603741.0,604429.0,605696.0,607089.0,608661.0,611143.0,613348.0,615545.0,617679.0,622402.0,819598.0,826170.0,832738.0,840638.0,846952.0,848550.0,847808.0,845345.0,843943.0,842969.0,841939.0,840437.0,836428.0,830074.0,821624.0,808576.0,788659.0,756275.0,738403.0,733454.0,728496.0,723340.0,721504.0,721231.0,722899.0,726034.0,730529.0,732996.0,734492.0,734147.0,744683.0,743711.0,743490.0,744779.0,746213.0,750008.0,757273.0,765285.0,771406.0,774988.0,776378.0,776888.0,776679.0,776964.0,778096.0,789349.0,791566.0,796635.0,800422.0,801799.0,804165.0
9,강북구,495000.0,496847.0,498750.0,500042.0,499917.0,500583.0,508569.0,512236.0,513611.0,514361.0,514944.0,516681.0,518278.0,522319.0,523861.0,525222.0,526583.0,530847.0,692066.0,696157.0,699603.0,702050.0,702711.0,702793.0,702777.0,702132.0,700545.0,700116.0,700190.0,699215.0,695116.0,690207.0,684835.0,674256.0,653512.0,628304.0,609757.0,600174.0,592740.0,587844.0,585820.0,585646.0,586025.0,586797.0,587277.0,587806.0,587265.0,586036.0,583773.0,582658.0,581888.0,581707.0,581731.0,582938.0,585265.0,589711.0,593749.0,595607.0,595845.0,595745.0,595276.0,594853.0,595115.0,591716.0,591746.0,593746.0,595519.0,596307.0,596845.0
10,도봉구,420883.0,422419.0,424285.0,425803.0,425829.0,426723.0,432455.0,435491.0,436295.0,436875.0,437402.0,438554.0,440214.0,443920.0,447009.0,448964.0,451598.0,455955.0,667923.0,676167.0,681606.0,685023.0,687063.0,687760.0,687538.0,687023.0,686023.0,685172.0,684805.0,684602.0,680760.0,674163.0,665525.0,653357.0,632113.0,603665.0,587650.0,579946.0,573049.0,567776.0,564614.0,563637.0,564108.0,565157.0,566318.0,567000.0,566946.0,565632.0,564637.0,563090.0,562314.0,561812.0,561363.0,561354.0,562552.0,564704.0,567238.0,567919.0,568933.0,569336.0,569067.0,568839.0,569175.0,572265.0,572404.0,573139.0,574570.0,575516.0,575682.0
11,노원구,467222.0,468846.0,470932.0,472685.0,472710.0,473617.0,480086.0,483210.0,484531.0,485395.0,486340.0,488586.0,490833.0,495278.0,498951.0,502623.0,506691.0,514914.0,695432.0,705035.0,712228.0,718152.0,722041.0,723905.0,723242.0,722215.0,721405.0,721111.0,720231.0,718853.0,714742.0,707755.0,698204.0,685552.0,664035.0,631024.0,617062.0,612632.0,609761.0,608645.0,609774.0,610532.0,610855.0,611298.0,613565.0,614317.0,614132.0,612858.0,616085.0,614968.0,614513.0,614516.0,614608.0,615974.0,618577.0,623304.0,627608.0,629516.0,630780.0,631013.0,630563.0,630148.0,630132.0,625802.0,625863.0,628066.0,630789.0,631934.0,633396.0
12,서북권,764497.0,766171.0,767381.0,766847.0,765161.0,764905.0,774441.0,778785.0,781597.0,783191.0,784052.0,786655.0,789379.0,795643.0,798861.0,801258.0,803866.0,810576.0,956231.0,963766.0,971238.0,981723.0,989903.0,991224.0,990735.0,989181.0,987830.0,987322.0,986630.0,985148.0,980850.0,973320.0,963481.0,951420.0,933664.0,900877.0,880891.0,870922.0,863685.0,859097.0,857792.0,858756.0,861782.0,866484.0,871513.0,874814.0,876147.0,874864.0,874227.0,872477.0,873115.0,875427.0,878013.0,885135.0,899265.0,912463.0,921008.0,926527.0,929343.0,929988.0,930115.0,930867.0,936347.0,949600.0,955405.0,972352.0,985193.0,988361.0,995525.0
13,은평구,601337.0,602496.0,603490.0,603612.0,603653.0,603929.0,610286.0,613449.0,616367.0,617337.0,618031.0,619663.0,621398.0,625051.0,627041.0,629459.0,631561.0,635510.0,797275.0,805220.0,812560.0,820038.0,826791.0,827077.0,826275.0,824308.0,823192.0,822973.0,822615.0,821082.0,816385.0,809198.0,800088.0,786725.0,767835.0,739330.0,712715.0,705332.0,699627.0,695446.0,694409.0,694720.0,696238.0,698731.0,702528.0,704715.0,705705.0,705238.0,708212.0,706348.0,706066.0,706722.0,707566.0,712722.0,720399.0,726096.0,731187.0,733631.0,735455.0,735177.0,734662.0,734242.0,734399.0,748183.0,748797.0,751980.0,754020.0,754866.0,755663.0
