No,지역,지역,지역,지역,2020년 1월,2020년 2월,2020년 3월,2020년 4월,2020년 5월,2020년 6월,2020년 7월,2020년 8월,2020년 9월,2020년 10월,2020년 11월,2020년 12월,2021년 1월,2021년 2월,2021년 3월,2021년 4월,2021년 5월,2021년 6월,2021년 7월,2021년 8월,2021년 9월,2021년 10월,2021년 11월,2021년 12월,2022년 1월,2022년 2월,2022년 3월,2022년 4월,2022년 5월,2022년 6월,2022년 7월,2022년 8월,2022년 9월,2022년 10월,2022년 11월,2022년 12월,2023년 1월,2023년 2월,2023년 3월,2023년 4월,2023년 5월,2023년 6월,2023년 7월,2023년 8월,2023년 9월,2023년 10월,2023년 11월,2023년 12월,2024년 1월,2024년 2월,2024년 3월,2024년 4월,2024년 5월,2024년 6월,2024년 7월,2024년 8월,2024년 9월,2024년 10월,2024년 11월,2024년 12월,2025년 1월,2025년 2월,2025년 3월,2025년 4월,2025년 5월,2025년 6월,2025년 7월,2025년 8월,2025년 9월
No,지역,지역,지역,지역,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격
No,지역,지역,지역,지역,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원
1,전국,전국,전국,전국,"""366,793""","""368,783""","""372,016""","""373,252""","""373,608""","""375,821""","""380,260""","""383,529""","""386,235""","""387,973""","""391,180""","""396,418""","""401,083""","""406,808""","""410,921""","""414,983""","""419,019""","""426,064""","""491,728""","""498,221""","""504,121""","""509,748""","""513,344""","""514,584""","""514,577""","""514,114""","""513,420""","""513,028""","""512,185""","""511,359""","""509,978""","""506,802""","""502,163""","""495,107""","""483,839""","""468,130""","""455,926""","""448,199""","""443,526""","""441,069""","""440,861""","""441,629""","""443,028""","""445,161""","""447,695""","""449,561""","""450,090""","""449,530""","""452,117""","""451,135""","""450,506""","""450,577""","""450,932""","""452,330""","""455,505""","""459,422""","""462,147""","""463,554""","""464,280""","""464,370""","""464,107""","""464,641""","""467,110""","""473,012""","""474,595""","""479,135""","""482,572""","""484,037""","""485,802"""
2,수도권,수도권,수도권,수도권,"""526,563""","""529,737""","""535,290""","""537,404""","""537,976""","""540,878""","""547,544""","""551,580""","""554,605""","""556,292""","""559,427""","""564,152""","""569,996""","""578,553""","""584,631""","""590,858""","""596,817""","""607,706""","""721,261""","""731,999""","""741,851""","""750,761""","""756,331""","""758,448""","""758,407""","""757,620""","""756,560""","""756,063""","""754,742""","""753,629""","""751,595""","""746,956""","""739,933""","""728,974""","""711,492""","""686,826""","""668,367""","""657,073""","""650,542""","""647,377""","""647,959""","""649,954""","""652,966""","""657,145""","""661,799""","""665,193""","""666,233""","""665,377""","""665,914""","""664,644""","""664,048""","""664,664""","""665,731""","""669,144""","""676,207""","""684,514""","""690,207""","""693,269""","""695,031""","""695,663""","""695,608""","""697,106""","""702,761""","""708,755""","""712,432""","""722,201""","""729,552""","""732,584""","""736,209"""
3,지방권,지방권,지방권,지방권,"""216,470""","""217,346""","""218,396""","""218,805""","""218,958""","""220,524""","""222,866""","""225,414""","""227,820""","""229,605""","""232,881""","""238,600""","""242,156""","""245,216""","""247,481""","""249,507""","""251,732""","""255,160""","""284,270""","""286,926""","""289,254""","""291,913""","""293,724""","""294,172""","""294,196""","""294,027""","""293,664""","""293,365""","""292,955""","""292,388""","""291,597""","""289,743""","""287,259""","""283,731""","""278,079""","""270,466""","""264,210""","""259,702""","""256,705""","""254,886""","""253,966""","""253,628""","""253,571""","""253,857""","""254,477""","""254,964""","""255,032""","""254,740""","""258,322""","""257,601""","""256,943""","""256,520""","""256,231""","""255,802""","""255,451""","""255,389""","""255,425""","""255,330""","""255,119""","""254,717""","""254,265""","""253,925""","""253,507""","""259,175""","""258,859""","""258,655""","""258,543""","""258,587""","""258,664"""
4,6대광역시,6대광역시,6대광역시,6대광역시,"""282,145""","""283,622""","""286,740""","""288,289""","""289,127""","""291,510""","""293,779""","""295,977""","""298,907""","""301,505""","""306,330""","""313,976""","""319,357""","""324,733""","""329,139""","""333,113""","""337,314""","""343,728""","""383,138""","""387,876""","""391,941""","""396,018""","""398,633""","""399,441""","""399,218""","""398,688""","""397,756""","""397,040""","""395,909""","""394,796""","""393,339""","""390,168""","""385,705""","""379,537""","""369,656""","""356,918""","""347,789""","""340,906""","""336,024""","""333,383""","""332,207""","""331,961""","""332,149""","""332,820""","""333,817""","""334,515""","""334,401""","""333,839""","""338,308""","""337,439""","""336,710""","""336,410""","""336,213""","""335,812""","""335,574""","""335,982""","""336,286""","""336,196""","""335,866""","""335,113""","""334,367""","""333,749""","""333,022""","""340,337""","""339,644""","""339,169""","""338,779""","""338,725""","""338,648"""
5,5대광역시,5대광역시,5대광역시,5대광역시,"""279,447""","""280,685""","""281,802""","""282,207""","""282,411""","""284,258""","""286,501""","""289,025""","""292,516""","""295,565""","""301,179""","""310,102""","""315,661""","""320,582""","""324,076""","""326,852""","""330,023""","""335,004""","""376,739""","""380,322""","""383,268""","""386,256""","""388,179""","""388,641""","""388,330""","""387,747""","""386,844""","""386,081""","""385,137""","""384,094""","""382,763""","""380,078""","""376,122""","""370,803""","""362,294""","""351,496""","""342,727""","""335,636""","""330,414""","""327,181""","""325,492""","""324,771""","""324,446""","""324,751""","""325,523""","""326,057""","""325,957""","""325,465""","""329,757""","""328,758""","""327,864""","""327,370""","""326,899""","""326,018""","""325,247""","""324,986""","""324,931""","""324,587""","""324,148""","""323,497""","""322,835""","""322,253""","""321,590""","""328,643""","""327,855""","""327,342""","""326,972""","""326,993""","""326,990"""
6,9개도,9개도,9개도,9개도,"""267,026""","""269,711""","""273,689""","""275,851""","""276,896""","""279,176""","""282,802""","""285,607""","""287,988""","""289,446""","""292,432""","""297,085""","""301,537""","""307,255""","""311,488""","""315,521""","""319,114""","""325,519""","""378,416""","""385,037""","""390,587""","""395,903""","""399,101""","""400,376""","""400,539""","""400,309""","""399,807""","""399,476""","""399,044""","""398,383""","""397,301""","""394,577""","""390,832""","""385,155""","""376,132""","""363,242""","""352,707""","""345,527""","""341,336""","""339,056""","""338,634""","""339,071""","""340,228""","""341,868""","""344,115""","""345,864""","""346,415""","""346,039""","""349,236""","""348,376""","""347,635""","""347,367""","""347,336""","""347,934""","""349,128""","""350,942""","""352,512""","""353,276""","""353,643""","""353,713""","""353,391""","""353,104""","""353,255""","""357,990""","""358,165""","""359,043""","""360,410""","""360,981""","""361,777"""
7,8개도,8개도,8개도,8개도,"""159,128""","""159,420""","""159,699""","""159,834""","""159,900""","""160,928""","""162,478""","""163,605""","""164,465""","""165,065""","""166,374""","""169,487""","""171,393""","""172,916""","""174,183""","""175,607""","""177,125""","""179,434""","""199,347""","""201,479""","""203,462""","""206,022""","""208,031""","""209,077""","""209,607""","""209,928""","""210,124""","""210,325""","""210,453""","""210,415""","""210,189""","""209,208""","""208,127""","""206,246""","""203,170""","""198,950""","""195,593""","""193,514""","""192,086""","""191,135""","""190,567""","""190,338""","""190,313""","""190,527""","""190,980""","""191,424""","""191,617""","""191,537""","""193,895""","""193,573""","""193,310""","""193,103""","""193,109""","""193,079""","""193,128""","""193,267""","""193,388""","""193,507""","""193,518""","""193,326""","""193,075""","""192,962""","""192,788""","""197,411""","""197,134""","""197,067""","""197,129""","""197,164""","""197,293"""
