,자치구,2020년 1월,2020년 2월,2020년 3월,2020년 4월,2020년 5월,2020년 6월,2020년 7월,2020년 8월,2020년 9월,2020년 10월,2020년 11월,2020년 12월,2021년 1월,2021년 2월,2021년 3월,2021년 4월,2021년 5월,2021년 6월,2021년 7월,2021년 8월,2021년 9월,2021년 10월,2021년 11월,2021년 12월,2022년 1월,2022년 2월,2022년 3월,2022년 4월,2022년 5월,2022년 6월,2022년 7월,2022년 8월,2022년 9월,2022년 10월,2022년 11월,2022년 12월,2023년 1월,2023년 2월,2023년 3월,2023년 4월,2023년 5월,2023년 6월,2023년 7월,2023년 8월,2023년 9월,2023년 10월,2023년 11월,2023년 12월,2024년 1월,2024년 2월,2024년 3월,2024년 4월,2024년 5월,2024년 6월,2024년 7월,2024년 8월,2024년 9월,2024년 10월,2024년 11월,2024년 12월,2025년 1월,2025년 2월,2025년 3월,2025년 4월,2025년 5월,2025년 6월,2025년 7월,2025년 8월,2025년 9월
0,종로구,586403.0,587125.0,588306.0,588917.0,589361.0,590625.0,592292.0,592708.0,593597.0,594347.0,595569.0,599639.0,602222.0,603417.0,603778.0,604278.0,604417.0,604847.0,615663.0,620913.0,625763.0,631013.0,635275.0,636475.0,636363.0,634475.0,633859.0,633104.0,632641.0,631054.0,629541.0,625679.0,619304.0,611004.0,599279.0,580996.0,562009.0,548885.0,536317.0,531836.0,530848.0,531256.0,531522.0,532498.0,535979.0,538510.0,540670.0,541016.0,541394.0,541565.0,542455.0,543028.0,544626.0,548796.0,553528.0,559207.0,563451.0,566317.0,566855.0,567062.0,567477.0,567026.0,567416.0,568747.0,569410.0,570940.0,571988.0,572120.0,572072.0
1,중구,487586.0,488814.0,489393.0,489493.0,489507.0,489671.0,490671.0,492571.0,493957.0,495257.0,496900.0,500329.0,502343.0,503729.0,504443.0,504643.0,504757.0,505186.0,644880.0,648960.0,653480.0,660290.0,665520.0,666730.0,666600.0,666100.0,664350.0,663290.0,663130.0,662700.0,661180.0,659260.0,652510.0,641890.0,624100.0,590599.0,575622.0,561650.0,552456.0,546767.0,543927.0,543135.0,543908.0,546192.0,549758.0,552805.0,555258.0,556019.0,553698.0,554240.0,555965.0,557229.0,560764.0,565761.0,571108.0,574986.0,579584.0,583893.0,586210.0,587238.0,587827.0,587537.0,588556.0,585275.0,586140.0,587401.0,588590.0,588905.0,589383.0
2,용산구,596085.0,597524.0,598439.0,599439.0,599976.0,601451.0,603268.0,605976.0,608512.0,610951.0,613537.0,620110.0,624805.0,627817.0,631244.0,633085.0,634012.0,636195.0,845874.0,852042.0,858678.0,864552.0,870021.0,872175.0,872538.0,872021.0,870063.0,869056.0,869741.0,868965.0,867937.0,865503.0,861587.0,853287.0,830699.0,795531.0,762719.0,747568.0,733712.0,727384.0,725315.0,723582.0,723747.0,727616.0,733534.0,738281.0,744651.0,749473.0,781656.0,783417.0,786450.0,791781.0,793934.0,799861.0,808676.0,816344.0,821728.0,825424.0,828411.0,829881.0,830576.0,831808.0,833192.0,843987.0,845829.0,848007.0,853967.0,856362.0,859730.0
3,동북권,345148.0,345773.0,346478.0,346900.0,346999.0,347647.0,348903.0,350726.0,352708.0,354380.0,355938.0,358484.0,360515.0,362381.0,363727.0,365029.0,366250.0,368211.0,482398.0,485425.0,488739.0,491524.0,493802.0,494933.0,495133.0,494589.0,494061.0,493939.0,493770.0,493554.0,493084.0,491946.0,489181.0,482640.0,469207.0,446160.0,425903.0,413246.0,404915.0,400752.0,399000.0,398577.0,399361.0,401850.0,405986.0,409426.0,413203.0,415091.0,418388.0,420254.0,421897.0,423434.0,425568.0,428505.0,432579.0,436667.0,439506.0,442017.0,443219.0,443118.0,442917.0,442571.0,442962.0,445702.0,446096.0,447149.0,448198.0,449147.0,450482.0
4,성동구,496627.0,497863.0,499137.0,500431.0,500775.0,502049.0,504402.0,508294.0,511304.0,514480.0,516912.0,521284.0,524843.0,527559.0,529559.0,531137.0,532441.0,535137.0,730310.0,733519.0,736548.0,740629.0,744033.0,745748.0,746967.0,747305.0,747033.0,747295.0,747586.0,747990.0,748414.0,748190.0,746010.0,739695.0,724857.0,694290.0,664129.0,640271.0,624690.0,618438.0,617876.0,618643.0,620686.0,628219.0,638757.0,647638.0,659324.0,663276.0,665505.0,671724.0,675548.0,678490.0,681605.0,687900.0,699143.0,709610.0,717386.0,725448.0,729567.0,728443.0,727210.0,725652.0,727243.0,724374.0,724791.0,725152.0,726384.0,727209.0,730995.0
5,광진구,570732.0,571244.0,571659.0,572268.0,572305.0,573463.0,575098.0,578085.0,580524.0,582256.0,583793.0,587817.0,590195.0,593707.0,595341.0,596732.0,597890.0,599805.0,696293.0,699571.0,704757.0,708629.0,711386.0,713736.0,714314.0,713171.0,712621.0,712257.0,712157.0,711493.0,710657.0,708893.0,706450.0,699907.0,687264.0,660406.0,627682.0,605489.0,585951.0,578059.0,573038.0,572266.0,573865.0,579334.0,584003.0,589403.0,594230.0,596699.0,594744.0,598312.0,599993.0,601156.0,603101.0,608256.0,612188.0,618876.0,623542.0,627569.0,628576.0,629760.0,630447.0,630413.0,631767.0,627856.0,629460.0,634312.0,638017.0,640614.0,643272.0
6,동대문구,372472.0,373075.0,374151.0,374632.0,374745.0,375160.0,376160.0,377783.0,380283.0,381557.0,382925.0,385340.0,386925.0,388283.0,389217.0,389689.0,389953.0,391821.0,490985.0,493728.0,498650.0,501340.0,503586.0,504717.0,504987.0,505069.0,504364.0,504476.0,504602.0,504515.0,503573.0,501719.0,497938.0,491893.0,479987.0,458221.0,439033.0,427932.0,421361.0,417378.0,414478.0,413540.0,415467.0,418348.0,423451.0,428267.0,432215.0,435768.0,442259.0,443595.0,445005.0,447753.0,450869.0,452865.0,456269.0,460467.0,462135.0,463898.0,464214.0,462754.0,461010.0,459899.0,459332.0,469837.0,470276.0,471109.0,472247.0,473011.0,474319.0
7,중랑구,300213.0,300404.0,300511.0,300553.0,300532.0,300723.0,301277.0,302745.0,304245.0,305415.0,306245.0,308277.0,309606.0,311202.0,312181.0,313117.0,313670.0,314798.0,404683.0,406551.0,408277.0,409666.0,410506.0,410923.0,411580.0,411340.0,411426.0,411203.0,411174.0,411378.0,411075.0,410235.0,408024.0,403224.0,394338.0,378286.0,364196.0,356712.0,351454.0,348437.0,346946.0,346803.0,347280.0,348358.0,350568.0,352326.0,353823.0,354414.0,357795.0,358453.0,359111.0,360979.0,363479.0,365563.0,367757.0,370009.0,372215.0,373931.0,374878.0,375375.0,375493.0,375403.0,375445.0,382039.0,382586.0,383361.0,384065.0,384424.0,384638.0
8,성북구,372027.0,372911.0,373991.0,374866.0,375223.0,375848.0,377161.0,379134.0,381875.0,384188.0,386580.0,389339.0,392241.0,394571.0,396777.0,398911.0,401080.0,404143.0,518231.0,521834.0,525349.0,528646.0,531463.0,532258.0,531664.0,530231.0,529017.0,528354.0,528100.0,527463.0,526786.0,524545.0,519343.0,508753.0,489758.0,457792.0,435438.0,424875.0,418766.0,415950.0,414816.0,414450.0,415169.0,417367.0,420505.0,423316.0,425598.0,426858.0,434061.0,434953.0,436166.0,437612.0,439535.0,442423.0,445740.0,448628.0,451290.0,453379.0,454306.0,454205.0,454502.0,454093.0,453820.0,459851.0,460353.0,461406.0,462229.0,463394.0,464406.0
9,강북구,312653.0,313944.0,315222.0,316125.0,316861.0,318125.0,319514.0,321903.0,323750.0,324792.0,325986.0,328236.0,329903.0,331819.0,333014.0,333889.0,334750.0,336986.0,430149.0,432533.0,434880.0,437533.0,439525.0,440426.0,440715.0,440161.0,439674.0,439839.0,439517.0,438628.0,437860.0,437000.0,434116.0,424669.0,406174.0,382181.0,365525.0,352872.0,344902.0,341709.0,340630.0,340266.0,340654.0,341339.0,343000.0,343433.0,345193.0,345590.0,345982.0,346752.0,348282.0,349659.0,351313.0,354290.0,356827.0,358412.0,360373.0,361496.0,361935.0,361473.0,361242.0,361379.0,361895.0,362496.0,362208.0,362375.0,362580.0,363246.0,363909.0
