No,지역,지역,지역,지역,2020년 1월,2020년 2월,2020년 3월,2020년 4월,2020년 5월,2020년 6월,2020년 7월,2020년 8월,2020년 9월,2020년 10월,2020년 11월,2020년 12월,2021년 1월,2021년 2월,2021년 3월,2021년 4월,2021년 5월,2021년 6월,2021년 7월,2021년 8월,2021년 9월,2021년 10월,2021년 11월,2021년 12월,2022년 1월,2022년 2월,2022년 3월,2022년 4월,2022년 5월,2022년 6월,2022년 7월,2022년 8월,2022년 9월,2022년 10월,2022년 11월,2022년 12월,2023년 1월,2023년 2월,2023년 3월,2023년 4월,2023년 5월,2023년 6월,2023년 7월,2023년 8월,2023년 9월,2023년 10월,2023년 11월,2023년 12월,2024년 1월,2024년 2월,2024년 3월,2024년 4월,2024년 5월,2024년 6월,2024년 7월,2024년 8월,2024년 9월,2024년 10월,2024년 11월,2024년 12월,2025년 1월,2025년 2월,2025년 3월,2025년 4월,2025년 5월,2025년 6월,2025년 7월,2025년 8월,2025년 9월
No,지역,지역,지역,지역,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격
No,지역,지역,지역,지역,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원,천원
1,전국,전국,전국,전국,"""231,562""","""232,591""","""233,472""","""233,922""","""234,326""","""235,423""","""236,923""","""238,935""","""241,270""","""243,364""","""246,389""","""250,758""","""253,946""","""256,587""","""258,433""","""259,680""","""260,921""","""263,722""","""308,699""","""311,556""","""314,123""","""316,827""","""318,662""","""319,525""","""319,475""","""319,087""","""318,493""","""318,065""","""317,793""","""317,283""","""316,533""","""314,746""","""311,768""","""306,644""","""297,967""","""285,055""","""273,126""","""264,611""","""259,655""","""257,327""","""256,678""","""256,657""","""256,992""","""258,130""","""259,944""","""261,928""","""263,617""","""264,527""","""267,250""","""267,489""","""267,885""","""268,474""","""269,195""","""269,989""","""271,144""","""272,494""","""273,630""","""274,611""","""275,230""","""275,439""","""275,459""","""275,533""","""275,812""","""279,948""","""280,131""","""280,498""","""280,888""","""281,258""","""281,929"""
2,수도권,수도권,수도권,수도권,"""314,117""","""315,733""","""317,063""","""317,776""","""318,426""","""320,032""","""322,258""","""325,147""","""328,360""","""331,149""","""335,007""","""339,729""","""343,305""","""346,541""","""348,818""","""350,183""","""351,476""","""355,356""","""434,833""","""439,338""","""443,397""","""447,376""","""449,902""","""451,034""","""450,726""","""449,939""","""448,937""","""448,290""","""448,090""","""447,466""","""446,444""","""443,788""","""439,252""","""431,209""","""417,298""","""396,296""","""377,283""","""363,695""","""356,231""","""353,075""","""352,769""","""353,327""","""354,411""","""356,747""","""360,258""","""363,955""","""366,977""","""368,639""","""371,379""","""372,080""","""373,127""","""374,487""","""376,040""","""377,861""","""380,417""","""383,224""","""385,575""","""387,470""","""388,566""","""388,852""","""388,863""","""388,979""","""389,580""","""393,873""","""394,338""","""395,152""","""395,937""","""396,583""","""397,757"""
3,지방권,지방권,지방권,지방권,"""153,888""","""154,364""","""154,822""","""155,025""","""155,197""","""155,817""","""156,634""","""157,820""","""159,328""","""160,768""","""163,011""","""167,046""","""169,869""","""171,952""","""173,393""","""174,529""","""175,720""","""177,506""","""194,696""","""196,062""","""197,281""","""198,833""","""200,045""","""200,663""","""200,846""","""200,819""","""200,594""","""200,364""","""200,027""","""199,621""","""199,116""","""198,113""","""196,545""","""194,059""","""190,113""","""184,513""","""179,129""","""175,192""","""172,500""","""170,920""","""169,961""","""169,418""","""169,076""","""169,134""","""169,416""","""169,854""","""170,339""","""170,571""","""172,863""","""172,684""","""172,490""","""172,379""","""172,347""","""172,210""","""172,094""","""172,123""","""172,160""","""172,311""","""172,498""","""172,637""","""172,664""","""172,701""","""172,689""","""176,610""","""176,537""","""176,499""","""176,529""","""176,649""","""176,863"""
4,6대광역시,6대광역시,6대광역시,6대광역시,"""197,000""","""197,912""","""198,751""","""199,334""","""199,633""","""200,494""","""201,263""","""202,294""","""204,031""","""205,878""","""209,265""","""214,981""","""218,827""","""221,868""","""224,215""","""226,115""","""228,120""","""231,421""","""254,904""","""256,983""","""258,725""","""260,706""","""262,093""","""262,717""","""262,520""","""261,914""","""260,907""","""260,161""","""259,095""","""257,890""","""256,626""","""254,354""","""251,333""","""246,910""","""239,860""","""230,145""","""221,671""","""215,277""","""210,878""","""208,469""","""207,138""","""206,416""","""205,941""","""206,196""","""206,749""","""207,364""","""207,847""","""208,012""","""210,817""","""210,801""","""210,986""","""211,285""","""211,647""","""211,778""","""211,979""","""212,575""","""213,100""","""213,734""","""214,109""","""214,128""","""214,051""","""214,019""","""214,021""","""218,876""","""218,748""","""218,702""","""218,696""","""218,806""","""219,106"""
5,5대광역시,5대광역시,5대광역시,5대광역시,"""192,778""","""193,579""","""194,159""","""194,339""","""194,525""","""195,313""","""196,140""","""197,298""","""198,960""","""200,636""","""203,463""","""209,121""","""212,952""","""215,870""","""217,903""","""219,410""","""221,076""","""223,589""","""248,438""","""249,966""","""251,242""","""252,848""","""253,989""","""254,467""","""254,410""","""254,073""","""253,379""","""252,697""","""251,770""","""250,767""","""249,667""","""247,809""","""245,148""","""241,224""","""235,141""","""226,954""","""219,296""","""213,139""","""208,684""","""206,143""","""204,691""","""203,916""","""203,305""","""203,309""","""203,475""","""203,837""","""204,258""","""204,432""","""207,126""","""206,860""","""206,652""","""206,635""","""206,609""","""206,410""","""206,240""","""206,256""","""206,259""","""206,407""","""206,586""","""206,694""","""206,759""","""206,848""","""206,882""","""211,638""","""211,597""","""211,621""","""211,708""","""211,951""","""212,248"""
6,9개도,9개도,9개도,9개도,"""186,771""","""187,793""","""188,617""","""188,962""","""189,369""","""190,553""","""192,087""","""194,009""","""196,254""","""198,204""","""200,519""","""203,694""","""206,051""","""208,264""","""209,668""","""210,658""","""211,685""","""213,713""","""254,420""","""257,275""","""259,765""","""262,419""","""264,168""","""265,005""","""265,035""","""264,869""","""264,582""","""264,353""","""264,235""","""264,044""","""263,569""","""262,046""","""259,532""","""255,176""","""248,094""","""237,861""","""228,021""","""221,046""","""217,253""","""215,273""","""214,786""","""214,898""","""215,319""","""216,351""","""218,172""","""220,364""","""221,991""","""222,869""","""225,727""","""225,968""","""226,248""","""226,747""","""227,308""","""227,797""","""228,459""","""229,332""","""230,143""","""230,821""","""231,354""","""231,623""","""231,682""","""231,713""","""231,894""","""235,733""","""235,862""","""236,069""","""236,322""","""236,534""","""236,908"""
7,8개도,8개도,8개도,8개도,"""121,119""","""121,283""","""121,455""","""121,588""","""121,724""","""122,159""","""122,715""","""123,449""","""124,363""","""125,120""","""126,514""","""128,624""","""130,057""","""131,195""","""132,143""","""132,995""","""133,858""","""135,159""","""150,237""","""151,548""","""152,753""","""154,276""","""155,594""","""156,510""","""157,026""","""157,342""","""157,629""","""157,830""","""158,038""","""158,176""","""158,205""","""157,951""","""157,331""","""156,034""","""153,839""","""150,517""","""147,282""","""145,149""","""143,735""","""142,808""","""142,170""","""141,749""","""141,558""","""141,616""","""141,901""","""142,319""","""142,801""","""143,057""","""144,767""","""144,735""","""144,633""","""144,519""","""144,534""","""144,495""","""144,442""","""144,506""","""144,561""","""144,722""","""144,905""","""145,038""","""145,040""","""145,047""","""145,011""","""148,354""","""148,222""","""148,103""","""148,073""","""148,073""","""148,159"""
