입주예정월,지역,사업유형,주소,주택명,세대수
202601,서울,임대,서울특별시 강북구 수유동 47-52,수유동47-52(청년안심주택),426
202603,서울,임대,서울특별시 광진구 구의동 246-10,구의동246-10(청년안심주택),439
202603,서울,임대,서울특별시 금천구 독산동 292-6,독산동292-6(청년안심주택),589
202510,서울,임대,서울특별시 노원구 상계동 1049-71,상계동1049-71(청년안심주택),443
202601,서울,임대,서울특별시 노원구 상계동 690,상계동690(청년안심주택),302
202510,서울,임대,서울특별시 동대문구 휘경동 244-1,휘경동244-1(청년안심주택),349
202508,서울,임대,서울특별시 성동구 마장동 339-2,마장동339-2(청년안심주택),346
202510,서울,임대,서울특별시 중랑구 상봉동 100,상봉동100(청년안심주택),351
202507,서울,임대,서울특별시 마포구 노고산동 49-29,신촌지역(마포)1-2,98
202508,서울,분양,서울특별시 구로구 오류동 213-1,천왕역 모아엘가 트레뷰,440
202507,서울,임대,서울특별시 도봉구 방학동 717-6,도봉롯데캐슬골든파크(민간임대),282
202507,서울,분양,서울특별시 동대문구 용두동 26-14,용두 1-3구역(힐스테이트 청량리 메트로블),288
202507,서울,분양,서울특별시 마포구 노고산동 129,빌리브 디 에이블,299
202508,서울,분양,서울특별시 성동구 용답동 121,청계 SK VIEW,396
202507,서울,분양,서울특별시 성동구 행당동 128,라체르보 푸르지오 써밋,958
202510,서울,임대,서울특별시 중랑구 상봉동 109-28,중랑구상봉동109-28(청년안심주택),782
202508,서울,분양,서울특별시 강남구 대치동 964,디에이치 대치 에델루이,282
202510,서울,임대,서울특별시 관악구 신림동 1644-3,관악구신림동1644-3(청년안심주택),240
202510,서울,임대,서울특별시 동대문구 장안동 418-1,동대문구장안동418-1(청년안심주택),125
202608,서울,조합,서울특별시 서초구 반포동 1109,래미안트리니원,2091
202510,서울,임대,서울특별시 서초구 서초동 1673-3,서초구서초동1673-3(청년안심주택),76
202508,서울,분양,서울특별시 마포구 신공덕동 27-8,신공덕아이파크,140
202509,서울,분양,서울특별시 광진구 광장동 188-2,포제스 한강,128
202509,서울,분양,서울특별시 영등포구 당산동6가 331-1,디마크 당산,152
202510,서울,임대,서울특별시 광진구 중곡동 93-13,광진구중곡동93-13(청년안심주택),261
202601,서울,임대,서울특별시 동대문구 신설동 98-18,동대문구신설동98-18(청년안심주택),99
202601,서울,임대,서울특별시 동대문구 전농동 127-359,동대문구전농동127-359(청년안심주택),206
202603,서울,조합,서울특별시 서초구 잠원동 59-10,신반포21차아파트 ,251
202605,서울,분양,서울특별시 송파구 가락동 161-3,더샵송파루미스타,179
202512,서울,분양,서울특별시 강남구 논현동 150-4,학동역에스포레논현,41
202511,서울,분양,서울특별시 강남구 청담동 134-18,청담 르엘,1261
202511,서울,분양,서울특별시 강북구 미아동 705-1,한화 포레나 미아,497
202511,서울,분양,서울특별시 강서구 등촌동 654-40,등촌동654가로주택정비사업,73
202511,서울,분양,서울특별시 강서구 염창동 283,염창역동문디이스트,66
202511,서울,분양,서울특별시 서대문구 남가좌동 289-54,DMC가재울아이파크,283
202511,서울,분양,서울특별시 서초구 방배동 818-18,래미안 원페를라,1097
202512,서울,분양,서울특별시 성동구 성수동1가 671-179,서울숲아이파크리버포레2차,528
202511,서울,분양,서울특별시 은평구 신사동 170-12,새절역 두산위브 트레지움,424
202512,서울,분양,서울특별시 강동구 천호동 410-100,더샵 강동센트럴시티,670
202602,서울,분양,서울특별시 동작구 상도동 373-1,상도동힐스테이트장승배기역,370
202512,서울,분양,서울특별시 송파구 신천동 20-4,잠실 래미안아이파크,2678
202601,서울,분양,서울특별시 송파구 신천동 17-6,잠실르엘(미성크로바재건축),1865
202601,서울,분양,서울특별시 강동구 천호동 423-76,e편한세상 강동 프레스티지원,535
202612,서울,임대,서울특별시 동작구 사당동 1046-1,한누리주차장(행복주택),46
202606,서울,임대,서울특별시 동작구 상도동 54-20,청석주차장(행복주택),36
202701,서울,분양,서울특별시 중랑구 중화2동 296-44,세광하니타운가로주택정비사업,219
202603,서울,임대,서울특별시 광진구 구의동 587-6,광진구구의동587-6(청년안심주택),174
202603,서울,분양,서울특별시 도봉구 도봉동 95,도봉 금호어울림 리버파크,299
202603,서울,임대,서울특별시 성동구 홍익동 150,성동구홍익동150(청년안심주택),266
202601,서울,임대,서울특별시 성북구 하월곡동 88-513,성북구하월곡동88-513(청년안심주택),415
202603,서울,분양,서울특별시 영등포구 양평동1가 265-1,영등포자이 디그니티,707
202603,서울,임대,서울특별시 강서구 공항동 11-21,강서구공항동11-21(청년안심주택),176
