월(Monthly),구분,시군구,미분양현황
2017-08,서울,계,39
2017-08,서울,종로구,1
2017-08,서울,중구,0
2017-08,서울,용산구,0
2017-08,서울,성동구,1
2017-08,서울,광진구,0
2017-08,서울,동대문구,0
2017-08,서울,중랑구,0
2017-08,서울,성북구,8
2017-08,서울,강북구,0
2017-08,서울,도봉구,2
2017-08,서울,노원구,0
2017-08,서울,은평구,0
2017-08,서울,서대문구,0
2017-08,서울,마포구,0
2017-08,서울,양천구,3
2017-08,서울,강서구,0
2017-08,서울,구로구,0
2017-08,서울,금천구,0
2017-08,서울,영등포구,0
2017-08,서울,동작구,0
2017-08,서울,관악구,0
2017-08,서울,서초구,16
2017-08,서울,강남구,0
2017-08,서울,송파구,8
2017-08,서울,강동구,0
2017-08,부산,계,738
2017-08,부산,중구,0
2017-08,부산,서구,0
2017-08,부산,동구,86
2017-08,부산,영도구,0
2017-08,부산,부산진구,28
2017-08,부산,동래구,22
2017-08,부산,남구,15
2017-08,부산,북구,0
2017-08,부산,해운대구,84
2017-08,부산,사하구,218
2017-08,부산,금정구,16
2017-08,부산,강서구,141
2017-08,부산,연제구,8
2017-08,부산,수영구,51
2017-08,부산,사상구,30
2017-08,부산,기장군,39
2017-08,대구,계,139
2017-08,대구,중구,0
2017-08,대구,동구,65
2017-08,대구,서구,22
2017-08,대구,남구,0
2017-08,대구,북구,0
2017-08,대구,수성구,1
2017-08,대구,달서구,0
2017-08,대구,달성군,51
2017-08,인천,계,2,081
2017-08,인천,중구,1,476
2017-08,인천,남동구,54
2017-08,인천,서구,145
2017-08,인천,연수구,0
2017-08,인천,남구,398
2017-08,인천,동구,0
2017-08,인천,부평구,8
2017-08,인천,계양구,0
2017-08,인천,강화군,0
2017-08,인천,옹진군,0
2017-08,광주,계,766
2017-08,광주,동구,289
2017-08,광주,서구,46
2017-08,광주,남구,39
2017-08,광주,북구,260
2017-08,광주,광산구,132
2017-08,대전,계,1,093
2017-08,대전,동구,255
2017-08,대전,중구,120
2017-08,대전,서구,266
2017-08,대전,유성구,394
2017-08,대전,대덕구,58
2017-08,울산,계,898
2017-08,울산,중구,118
2017-08,울산,남구,502
2017-08,울산,동구,91
2017-08,울산,북구,169
2017-08,울산,울주군,18
2017-08,경기,계,7,596
2017-08,경기,수원시,7
2017-08,경기,성남시,0
2017-08,경기,의정부시,8
2017-08,경기,안양시,68
2017-08,경기,부천시,9
2017-08,경기,광명시,0
2017-08,경기,평택시,1,028
2017-08,경기,동두천시,0
2017-08,경기,안산시,174
2017-08,경기,고양시,427
2017-08,경기,과천시,0
2017-08,경기,구리시,115
2017-08,경기,남양주시,656
2017-08,경기,오산시,330
2017-08,경기,시흥시,0
2017-08,경기,군포시,0
2017-08,경기,의왕시,0
2017-08,경기,하남시,18
2017-08,경기,용인시,1,766
2017-08,경기,파주시,18
2017-08,경기,이천시,18
2017-08,경기,안성시,1,330
2017-08,경기,김포시,0
2017-08,경기,양주시,213
2017-08,경기,여주시,0
2017-08,경기,화성시,1,190
2017-08,경기,광주시,197
2017-08,경기,연천군,21
2017-08,경기,포천시,0
2017-08,경기,가평군,0
2017-08,경기,양평군,3
2017-08,강원,계,2,316
2017-08,강원,춘천시,364
2017-08,강원,원주시,569
2017-08,강원,강릉시,384
2017-08,강원,동해시,192
2017-08,강원,태백시,13
2017-08,강원,속초시,14
2017-08,강원,삼척시,95
2017-08,강원,홍천군,20
2017-08,강원,횡성군,107
2017-08,강원,영월군,41
2017-08,강원,평창군,289
2017-08,강원,정선군,159
2017-08,강원,철원군,0
2017-08,강원,화천군,25
2017-08,강원,양구군,0
2017-08,강원,인제군,0
2017-08,강원,고성군,44
2017-08,강원,양양군,0
2017-08,충북,계,5,435
2017-08,충북,청주시,2,165
2017-08,충북,충주시,955
2017-08,충북,제천시,432
2017-08,충북,보은군,464
2017-08,충북,옥천군,241
2017-08,충북,영동군,25
2017-08,충북,증평군,0
2017-08,충북,진천군,522
2017-08,충북,괴산군,0
2017-08,충북,음성군,631
2017-08,충북,단양군,0
2017-08,충남,계,9,765
2017-08,충남,천안시,4,010
2017-08,충남,공주시,406
2017-08,충남,보령시,33
2017-08,충남,아산시,1,077
2017-08,충남,서산시,787
2017-08,충남,논산시,355
2017-08,충남,계룡시,81
2017-08,충남,당진시,554
2017-08,충남,금산군,0
2017-08,충남,부여군,438
2017-08,충남,서천군,22
2017-08,충남,청양군,0
2017-08,충남,홍성군,254
2017-08,충남,예산군,1,501
2017-08,충남,태안군,247
2017-08,세종,계,0
2017-08,세종,세종시,0
2017-08,전북,계,2,037
2017-08,전북,전주시,529
2017-08,전북,군산시,892
2017-08,전북,익산시,56
2017-08,전북,정읍시,86
2017-08,전북,남원시,0
2017-08,전북,김제시,204
2017-08,전북,완주군,212
2017-08,전북,진안군,0
2017-08,전북,무주군,0
2017-08,전북,장수군,0
2017-08,전북,임실군,58
2017-08,전북,순창군,0
2017-08,전북,고창군,0
2017-08,전북,부안군,0
2017-08,전남,계,690
2017-08,전남,목포시,79
2017-08,전남,여수시,6
2017-08,전남,순천시,68
2017-08,전남,나주시,222
2017-08,전남,광양시,293
2017-08,전남,담양군,0
2017-08,전남,곡성군,0
2017-08,전남,구례군,0
2017-08,전남,고흥군,0
2017-08,전남,보성군,0
2017-08,전남,화순군,0
2017-08,전남,장흥군,0
2017-08,전남,강진군,0
2017-08,전남,해남군,6
2017-08,전남,영암군,0
2017-08,전남,무안군,16
2017-08,전남,함평군,
2017-08,전남,영광군,
2017-08,전남,장성군,
2017-08,전남,완도군,
2017-08,전남,진도군,
2017-08,전남,신안군,
2017-08,경북,계,8,269
2017-08,경북,포항시,2,331
2017-08,경북,경주시,1,405
2017-08,경북,김천시,1,568
2017-08,경북,안동시,37
2017-08,경북,구미시,1,174
2017-08,경북,영주시,0
2017-08,경북,영천시,307
2017-08,경북,상주시,2
2017-08,경북,문경시,0
2017-08,경북,경산시,474
2017-08,경북,군위군,0
2017-08,경북,의성군,14
2017-08,경북,청송군,0
2017-08,경북,영양군,0
2017-08,경북,영덕군,0
2017-08,경북,청도군,136
2017-08,경북,고령군,0
2017-08,경북,성주군,8
2017-08,경북,칠곡군,241
2017-08,경북,예천군,572
2017-08,경북,봉화군,0
2017-08,경북,울진군,0
2017-08,경북,울릉군,0
2017-08,경남,계,10,354
2017-08,경남,창원시,5,425
2017-08,경남,진주시,213
2017-08,경남,통영시,295
2017-08,경남,사천시,1,242
2017-08,경남,김해시,972
2017-08,경남,밀양시,202
2017-08,경남,거제시,1,474
2017-08,경남,양산시,198
2017-08,경남,의령군,163
2017-08,경남,함안군,0
2017-08,경남,창녕군,115
2017-08,경남,고성군,0
2017-08,경남,남해군,0
2017-08,경남,하동군,0
2017-08,경남,산청군,43
2017-08,경남,함양군,5
2017-08,경남,거창군,7
2017-08,경남,합천군,0
2017-08,제주,계,914
2017-08,제주,제주시,717
2017-08,제주,서귀포시,197
2017-09,서울,계,75
2017-09,서울,종로구,1
2017-09,서울,중구,0
2017-09,서울,용산구,0
2017-09,서울,성동구,0
2017-09,서울,광진구,0
2017-09,서울,동대문구,0
2017-09,서울,중랑구,0
2017-09,서울,성북구,6
2017-09,서울,강북구,0
2017-09,서울,도봉구,2
2017-09,서울,노원구,0
2017-09,서울,은평구,0
2017-09,서울,서대문구,0
2017-09,서울,마포구,0
2017-09,서울,양천구,3
2017-09,서울,강서구,0
2017-09,서울,구로구,39
2017-09,서울,금천구,0
2017-09,서울,영등포구,0
2017-09,서울,동작구,0
2017-09,서울,관악구,0
2017-09,서울,서초구,16
2017-09,서울,강남구,0
2017-09,서울,송파구,8
2017-09,서울,강동구,0
2017-09,부산,계,720
2017-09,부산,중구,0
2017-09,부산,서구,0
2017-09,부산,동구,86
2017-09,부산,영도구,0
2017-09,부산,부산진구,28
2017-09,부산,동래구,14
2017-09,부산,남구,15
2017-09,부산,북구,0
2017-09,부산,해운대구,40
2017-09,부산,사하구,218
2017-09,부산,금정구,16
2017-09,부산,강서구,141
2017-09,부산,연제구,8
2017-09,부산,수영구,52
2017-09,부산,사상구,30
2017-09,부산,기장군,72
2017-09,대구,계,133
2017-09,대구,중구,0
2017-09,대구,동구,63
2017-09,대구,서구,22
2017-09,대구,남구,0
2017-09,대구,북구,0
2017-09,대구,수성구,0
2017-09,대구,달서구,0
2017-09,대구,달성군,48
2017-09,인천,계,2,291
2017-09,인천,중구,1,709
2017-09,인천,남동구,54
2017-09,인천,서구,131
2017-09,인천,연수구,0
2017-09,인천,남구,389
2017-09,인천,동구,0
2017-09,인천,부평구,8
2017-09,인천,계양구,0
2017-09,인천,강화군,0
2017-09,인천,옹진군,0
2017-09,광주,계,769
2017-09,광주,동구,289
2017-09,광주,서구,56
2017-09,광주,남구,36
2017-09,광주,북구,257
2017-09,광주,광산구,131
2017-09,대전,계,945
2017-09,대전,동구,250
2017-09,대전,중구,66
2017-09,대전,서구,215
2017-09,대전,유성구,362
2017-09,대전,대덕구,52
2017-09,울산,계,872
2017-09,울산,중구,117
2017-09,울산,남구,483
2017-09,울산,동구,87
2017-09,울산,북구,167
2017-09,울산,울주군,18
2017-09,경기,계,7,945
2017-09,경기,수원시,7
2017-09,경기,성남시,0
2017-09,경기,의정부시,3
2017-09,경기,안양시,68
2017-09,경기,부천시,52
2017-09,경기,광명시,0
2017-09,경기,평택시,1,007
2017-09,경기,동두천시,0
2017-09,경기,안산시,98
2017-09,경기,고양시,463
2017-09,경기,과천시,0
2017-09,경기,구리시,113
2017-09,경기,남양주시,1,222
2017-09,경기,오산시,157
2017-09,경기,시흥시,0
2017-09,경기,군포시,0
2017-09,경기,의왕시,0
2017-09,경기,하남시,18
2017-09,경기,용인시,1,548
2017-09,경기,파주시,18
2017-09,경기,이천시,173
2017-09,경기,안성시,1,224
2017-09,경기,김포시,0
2017-09,경기,양주시,27
2017-09,경기,여주시,0
2017-09,경기,화성시,1,358
2017-09,경기,광주시,368
2017-09,경기,연천군,21
2017-09,경기,포천시,0
2017-09,경기,가평군,0
2017-09,경기,양평군,0
2017-09,강원,계,3,094
2017-09,강원,춘천시,362
2017-09,강원,원주시,830
2017-09,강원,강릉시,342
2017-09,강원,동해시,883
2017-09,강원,태백시,13
2017-09,강원,속초시,14
2017-09,강원,삼척시,91
2017-09,강원,홍천군,20
2017-09,강원,횡성군,101
2017-09,강원,영월군,35
2017-09,강원,평창군,198
2017-09,강원,정선군,155
2017-09,강원,철원군,0
2017-09,강원,화천군,6
2017-09,강원,양구군,0
2017-09,강원,인제군,0
2017-09,강원,고성군,44
2017-09,강원,양양군,0
2017-09,충북,계,4,927
2017-09,충북,청주시,1,873
2017-09,충북,충주시,849
2017-09,충북,제천시,420
2017-09,충북,보은군,463
2017-09,충북,옥천군,197
2017-09,충북,영동군,25
2017-09,충북,증평군,0
2017-09,충북,진천군,481
2017-09,충북,괴산군,0
2017-09,충북,음성군,619
2017-09,충북,단양군,0
2017-09,충남,계,9,470
2017-09,충남,천안시,3,762
2017-09,충남,공주시,393
2017-09,충남,보령시,294
2017-09,충남,아산시,923
2017-09,충남,서산시,774
2017-09,충남,논산시,354
2017-09,충남,계룡시,60
2017-09,충남,당진시,409
2017-09,충남,금산군,0
2017-09,충남,부여군,396
2017-09,충남,서천군,152
2017-09,충남,청양군,0
2017-09,충남,홍성군,225
2017-09,충남,예산군,1,487
2017-09,충남,태안군,241
2017-09,세종,계,0
2017-09,세종,세종시,0
2017-09,전북,계,2,154
2017-09,전북,전주시,530
2017-09,전북,군산시,857
2017-09,전북,익산시,199
2017-09,전북,정읍시,121
2017-09,전북,남원시,0
2017-09,전북,김제시,192
2017-09,전북,완주군,204
2017-09,전북,진안군,0
2017-09,전북,무주군,0
2017-09,전북,장수군,0
2017-09,전북,임실군,51
2017-09,전북,순창군,0
2017-09,전북,고창군,0
2017-09,전북,부안군,0
2017-09,전남,계,780
2017-09,전남,목포시,79
2017-09,전남,여수시,6
2017-09,전남,순천시,63
2017-09,전남,나주시,181
2017-09,전남,광양시,293
2017-09,전남,담양군,0
2017-09,전남,곡성군,0
2017-09,전남,구례군,0
2017-09,전남,고흥군,63
2017-09,전남,보성군,0
2017-09,전남,화순군,0
2017-09,전남,장흥군,0
2017-09,전남,강진군,0
2017-09,전남,해남군,60
2017-09,전남,영암군,20
2017-09,전남,무안군,15
2017-09,전남,함평군,0
2017-09,전남,영광군,0
2017-09,전남,장성군,0
2017-09,전남,완도군,0
2017-09,전남,진도군,0
2017-09,전남,신안군,0
2017-09,경북,계,8,077
2017-09,경북,포항시,2,132
2017-09,경북,경주시,1,368
2017-09,경북,김천시,1,529
2017-09,경북,안동시,239
2017-09,경북,구미시,1,150
2017-09,경북,영주시,0
2017-09,경북,영천시,291
2017-09,경북,상주시,1
2017-09,경북,문경시,0
2017-09,경북,경산시,457
2017-09,경북,군위군,0
2017-09,경북,의성군,14
2017-09,경북,청송군,0
2017-09,경북,영양군,0
2017-09,경북,영덕군,0
2017-09,경북,청도군,131
2017-09,경북,고령군,0
2017-09,경북,성주군,7
2017-09,경북,칠곡군,219
2017-09,경북,예천군,539
2017-09,경북,봉화군,0
2017-09,경북,울진군,0
2017-09,경북,울릉군,0
2017-09,경남,계,11,147
2017-09,경남,창원시,5,375
2017-09,경남,진주시,212
2017-09,경남,통영시,277
2017-09,경남,사천시,1,333
2017-09,경남,김해시,1,394
2017-09,경남,밀양시,220
2017-09,경남,거제시,1,868
2017-09,경남,양산시,184
2017-09,경남,의령군,160
2017-09,경남,함안군,0
2017-09,경남,창녕군,71
2017-09,경남,고성군,0
2017-09,경남,남해군,0
2017-09,경남,하동군,0
2017-09,경남,산청군,41
2017-09,경남,함양군,5
2017-09,경남,거창군,7
2017-09,경남,합천군,0
2017-09,제주,계,1,021
2017-09,제주,제주시,747
2017-09,제주,서귀포시,274
2017-10,서울,계,56
2017-10,서울,종로구,1
2017-10,서울,중구,0
2017-10,서울,용산구,0
2017-10,서울,성동구,0
2017-10,서울,광진구,0
2017-10,서울,동대문구,0
2017-10,서울,중랑구,0
2017-10,서울,성북구,4
2017-10,서울,강북구,0
2017-10,서울,도봉구,2
2017-10,서울,노원구,0
2017-10,서울,은평구,0
2017-10,서울,서대문구,0
2017-10,서울,마포구,0
2017-10,서울,양천구,3
2017-10,서울,강서구,0
2017-10,서울,구로구,22
2017-10,서울,금천구,0
2017-10,서울,영등포구,0
2017-10,서울,동작구,0
2017-10,서울,관악구,0
2017-10,서울,서초구,16
2017-10,서울,강남구,0
2017-10,서울,송파구,8
2017-10,서울,강동구,0
2017-10,부산,계,1,473
2017-10,부산,중구,0
2017-10,부산,서구,0
2017-10,부산,동구,85
2017-10,부산,영도구,0
2017-10,부산,부산진구,373
2017-10,부산,동래구,13
2017-10,부산,남구,15
2017-10,부산,북구,0
2017-10,부산,해운대구,56
2017-10,부산,사하구,220
2017-10,부산,금정구,74
2017-10,부산,강서구,141
2017-10,부산,연제구,8
2017-10,부산,수영구,52
2017-10,부산,사상구,30
2017-10,부산,기장군,406
2017-10,대구,계,125
2017-10,대구,중구,0
2017-10,대구,동구,62
2017-10,대구,서구,19
2017-10,대구,남구,0
2017-10,대구,북구,0
2017-10,대구,수성구,0
2017-10,대구,달서구,0
2017-10,대구,달성군,44
2017-10,인천,계,1,908
2017-10,인천,중구,1,404
2017-10,인천,남동구,0
2017-10,인천,서구,128
2017-10,인천,연수구,0
2017-10,인천,남구,368
2017-10,인천,동구,0
2017-10,인천,부평구,8
2017-10,인천,계양구,0
2017-10,인천,강화군,0
2017-10,인천,옹진군,0
2017-10,광주,계,781
2017-10,광주,동구,229
2017-10,광주,서구,56
