연도,지역,1,2,3,4,5,6,7,8,9,10,11,12,연간 총계,월평균
2005,강원,554.0,991.0,2533.0,876.0,865.0,584.0,0.0,700.0,1623.0,1204.0,1384.0,1789.0,13103.0,1092.0
2005,경기,2258.0,746.0,8789.0,2350.0,9556.0,2636.0,12517.0,1411.0,9087.0,10673.0,21458.0,4821.0,86302.0,7192.0
2005,경남,3760.0,5276.0,1121.0,1624.0,1465.0,572.0,2980.0,3177.0,4060.0,1304.0,3568.0,280.0,29187.0,2432.0
2005,경북,377.0,200.0,3512.0,2201.0,863.0,1275.0,2727.0,2751.0,377.0,925.0,7446.0,1731.0,24385.0,2032.0
2005,광주,3217.0,1059.0,136.0,94.0,1878.0,764.0,382.0,111.0,2026.0,57.0,127.0,5735.0,15586.0,1299.0
2005,대구,62.0,628.0,1932.0,1319.0,1463.0,1189.0,4781.0,1765.0,687.0,1900.0,4851.0,1666.0,22243.0,1854.0
2005,대전,268.0,74.0,905.0,1968.0,1428.0,307.0,182.0,98.0,145.0,1529.0,907.0,1646.0,9457.0,788.0
2005,부산,197.0,1648.0,605.0,453.0,969.0,0.0,2157.0,320.0,694.0,308.0,0.0,764.0,8115.0,676.0
2005,서울,694.0,956.0,3202.0,11074.0,17431.0,1666.0,2026.0,1331.0,1018.0,1446.0,13419.0,1143.0,55406.0,4617.0
2005,세종,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,울산,44.0,143.0,2551.0,1475.0,136.0,5068.0,3366.0,323.0,130.0,141.0,624.0,459.0,14460.0,1205.0
2005,인천,142.0,4200.0,6597.0,4986.0,4382.0,1337.0,37.0,50.0,34.0,633.0,477.0,3487.0,26362.0,2197.0
2005,전남,116.0,73.0,741.0,607.0,3696.0,1899.0,618.0,1419.0,999.0,715.0,770.0,636.0,12289.0,1024.0
2005,전북,111.0,423.0,1070.0,581.0,585.0,177.0,109.0,430.0,935.0,577.0,3597.0,793.0,9388.0,782.0
2005,제주,295.0,254.0,184.0,212.0,243.0,180.0,165.0,129.0,173.0,376.0,171.0,286.0,2668.0,222.0
2005,충남,99.0,203.0,2387.0,1157.0,1940.0,1877.0,1093.0,2748.0,1872.0,2668.0,3513.0,3363.0,22920.0,1910.0
2005,충북,752.0,287.0,897.0,737.0,2803.0,598.0,534.0,1475.0,145.0,2131.0,444.0,1258.0,12061.0,1005.0
2006,강원,502.0,1566.0,1589.0,2200.0,744.0,1497.0,986.0,544.0,2371.0,545.0,1647.0,1183.0,15374.0,1281.0
2006,경기,1817.0,6687.0,2517.0,3193.0,1129.0,9595.0,5413.0,4070.0,2300.0,4803.0,18699.0,21532.0,81755.0,6813.0
2006,경남,802.0,4749.0,898.0,2853.0,3478.0,2252.0,3908.0,398.0,468.0,1277.0,6768.0,556.0,28407.0,2367.0
2006,경북,1627.0,314.0,3839.0,2703.0,3444.0,1425.0,448.0,1944.0,1100.0,576.0,1969.0,2450.0,21839.0,1820.0
2006,광주,41.0,164.0,712.0,103.0,257.0,636.0,106.0,10203.0,2140.0,488.0,212.0,1376.0,16438.0,1370.0
2006,대구,530.0,4065.0,326.0,4647.0,1595.0,3043.0,1211.0,128.0,110.0,3583.0,1772.0,2593.0,23603.0,1967.0
2006,대전,206.0,373.0,92.0,508.0,155.0,46.0,79.0,78.0,1923.0,371.0,48.0,39.0,3918.0,326.0
2006,부산,86.0,120.0,5436.0,89.0,1182.0,1164.0,1047.0,6491.0,2079.0,1513.0,1152.0,1180.0,21539.0,1795.0
2006,서울,789.0,2215.0,1294.0,4149.0,1416.0,2220.0,3785.0,982.0,1428.0,960.0,1184.0,12431.0,32853.0,2738.0
2006,세종,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,울산,72.0,88.0,423.0,825.0,791.0,228.0,1180.0,233.0,154.0,77.0,400.0,3547.0,8018.0,668.0
2006,인천,900.0,572.0,1883.0,32.0,119.0,100.0,72.0,529.0,1322.0,4339.0,83.0,44.0,9995.0,833.0
2006,전남,138.0,600.0,768.0,1605.0,198.0,800.0,744.0,1995.0,293.0,316.0,704.0,2083.0,10244.0,854.0
2006,전북,87.0,438.0,109.0,1091.0,201.0,1969.0,2285.0,296.0,3234.0,1061.0,199.0,120.0,11090.0,924.0
2006,제주,79.0,282.0,341.0,241.0,121.0,142.0,68.0,150.0,95.0,45.0,673.0,125.0,2362.0,197.0
2006,충남,1001.0,462.0,190.0,1861.0,1639.0,1525.0,870.0,3617.0,2019.0,5302.0,1883.0,1793.0,22162.0,1847.0
2006,충북,880.0,1298.0,1907.0,1457.0,2983.0,1192.0,1735.0,225.0,344.0,290.0,1925.0,167.0,14403.0,1200.0
