,대출평균(연%),가계대출(연%),주택담보대출(연%)
2025-08-01,4.06,4.17,3.96
2025-07-01,4.06,4.2,3.96
2025-06-01,4.09,4.21,3.93
2025-05-01,4.17,4.26,3.87
2025-04-01,4.19,4.36,3.98
2025-03-01,4.36,4.51,4.17
2025-02-01,4.46,4.52,4.23
2025-01-01,4.53,4.65,4.27
2024-12-01,4.64,4.72,4.25
2024-11-01,4.76,4.79,4.3
2024-10-01,4.67,4.55,4.05
2024-09-01,4.62,4.23,3.74
2024-08-01,4.48,4.08,3.51
2024-07-01,4.55,4.06,3.5
2024-06-01,4.71,4.26,3.71
2024-05-01,4.78,4.49,3.91
2024-04-01,4.77,4.48,3.93
2024-03-01,4.85,4.5,3.94
2024-02-01,4.85,4.49,3.96
2024-01-01,5.04,4.68,3.99
2023-12-01,5.14,4.82,4.16
2023-11-01,5.26,5.04,4.48
2023-10-01,5.24,5.04,4.56
2023-09-01,5.17,4.9,4.35
2023-08-01,5.1,4.83,4.31
2023-07-01,5.11,4.8,4.28
2023-06-01,5.17,4.81,4.26
2023-05-01,5.12,4.83,4.21
2023-04-01,5.01,4.82,4.24
2023-03-01,5.17,4.96,4.4
2023-02-01,5.32,5.22,4.56
2023-01-01,5.46,5.47,4.58
2022-12-01,5.57,5.64,4.63
2022-11-01,5.64,5.57,4.74
2022-10-01,5.26,5.34,4.82
2022-09-01,4.71,5.15,4.79
2022-08-01,4.52,4.76,4.35
2022-07-01,4.21,4.53,4.16
2022-06-01,3.9,4.23,4.04
2022-05-01,3.68,4.14,3.9
2022-04-01,3.57,4.05,3.9
2022-03-01,3.5,3.98,3.84
2022-02-01,3.51,3.93,3.88
2022-01-01,3.45,3.91,3.85
2021-12-01,3.25,3.66,3.63
2021-11-01,3.23,3.61,3.51
2021-10-01,3.07,3.46,3.26
2021-09-01,2.96,3.18,3.01
2021-08-01,2.87,3.1,2.88
2021-07-01,2.77,2.98,2.81
2021-06-01,2.77,2.92,2.74
2021-05-01,2.72,2.89,2.69
2021-04-01,2.74,2.91,2.73
2021-03-01,2.77,2.88,2.73
2021-02-01,2.74,2.81,2.66
2021-01-01,2.72,2.83,2.63
2020-12-01,2.74,2.79,2.59
2020-11-01,2.71,2.72,2.56
2020-10-01,2.66,2.64,2.47
2020-09-01,2.66,2.59,2.44
2020-08-01,2.63,2.55,2.39
2020-07-01,2.7,2.62,2.45
2020-06-01,2.72,2.67,2.49
2020-05-01,2.82,2.81,2.52
2020-04-01,2.8,2.89,2.58
2020-03-01,2.91,2.88,2.48
2020-02-01,3.08,2.9,2.52
2020-01-01,3.19,2.95,2.51
2019-12-01,3.22,2.98,2.45
2019-11-01,3.18,2.96,2.45
2019-10-01,3.2,3.01,2.5
2019-09-01,3.31,3.02,2.51
2019-08-01,3.19,2.92,2.47
2019-07-01,3.4,3.12,2.64
2019-06-01,3.49,3.25,2.74
2019-05-01,3.62,3.49,2.93
2019-04-01,3.65,3.48,2.98
2019-03-01,3.66,3.53,3.04
2019-02-01,3.7,3.5,3.08
2019-01-01,3.73,3.58,3.12
2018-12-01,3.72,3.61,3.19
2018-11-01,3.66,3.63,3.28
2018-10-01,3.64,3.64,3.31
2018-09-01,3.61,3.62,3.29
2018-08-01,3.63,3.66,3.36
2018-07-01,3.67,3.73,3.44
2018-06-01,3.65,3.72,3.46
2018-05-01,3.68,3.75,3.49
2018-04-01,3.65,3.69,3.47
2018-03-01,3.67,3.69,3.45
2018-02-01,3.68,3.65,3.46
2018-01-01,3.69,3.71,3.47
2017-12-01,3.62,3.61,3.42
2017-11-01,3.55,3.59,3.39
2017-10-01,3.46,3.51,3.33
2017-09-01,3.46,3.41,3.24
2017-08-01,3.43,3.39,3.28
2017-07-01,3.45,3.46,3.28
2017-06-01,3.44,3.41,3.22
2017-05-01,3.45,3.47,3.26
2017-04-01,3.42,3.41,3.21
2017-03-01,3.48,3.43,3.21
2017-02-01,3.45,3.38,3.19
2017-01-01,3.51,3.39,3.16
2016-12-01,3.44,3.29,3.13
2016-11-01,3.36,3.2,3.04
2016-10-01,3.29,3.08,2.89
2016-09-01,3.27,3.03,2.8
2016-08-01,3.23,2.95,2.7
2016-07-01,3.23,2.96,2.66
2016-06-01,3.31,3.06,2.77
2016-05-01,3.45,3.16,2.89
2016-04-01,3.44,3.17,2.93
2016-03-01,3.5,3.24,2.97
2016-02-01,3.47,3.21,2.99
2016-01-01,3.49,3.28,3.1
