date,한국_기준금리,미국_기준금리,연월
2015-01-01,2.0,0.11,2015년 01월
2015-02-01,2.0,0.11,2015년 02월
2015-03-01,1.75,0.11,2015년 03월
2015-04-01,1.75,0.12,2015년 04월
2015-05-01,1.75,0.12,2015년 05월
2015-06-01,1.5,0.13,2015년 06월
2015-07-01,1.5,0.13,2015년 07월
2015-08-01,1.5,0.14,2015년 08월
2015-09-01,1.5,0.14,2015년 09월
2015-10-01,1.5,0.12,2015년 10월
2015-11-01,1.5,0.12,2015년 11월
2015-12-01,1.5,0.24,2015년 12월
2016-01-01,1.5,0.34,2016년 01월
2016-02-01,1.5,0.38,2016년 02월
2016-03-01,1.5,0.36,2016년 03월
2016-04-01,1.5,0.37,2016년 04월
2016-05-01,1.5,0.37,2016년 05월
2016-06-01,1.25,0.38,2016년 06월
2016-07-01,1.25,0.39,2016년 07월
2016-08-01,1.25,0.4,2016년 08월
2016-09-01,1.25,0.4,2016년 09월
2016-10-01,1.25,0.4,2016년 10월
2016-11-01,1.25,0.41,2016년 11월
2016-12-01,1.25,0.54,2016년 12월
2017-01-01,1.25,0.65,2017년 01월
2017-02-01,1.25,0.66,2017년 02월
2017-03-01,1.25,0.79,2017년 03월
2017-04-01,1.25,0.9,2017년 04월
2017-05-01,1.25,0.91,2017년 05월
2017-06-01,1.25,1.04,2017년 06월
2017-07-01,1.25,1.15,2017년 07월
2017-08-01,1.25,1.16,2017년 08월
2017-09-01,1.25,1.15,2017년 09월
2017-10-01,1.25,1.15,2017년 10월
2017-11-01,1.5,1.16,2017년 11월
2017-12-01,1.5,1.3,2017년 12월
2018-01-01,1.5,1.41,2018년 01월
2018-02-01,1.5,1.42,2018년 02월
2018-03-01,1.5,1.51,2018년 03월
2018-04-01,1.5,1.69,2018년 04월
2018-05-01,1.5,1.7,2018년 05월
2018-06-01,1.5,1.82,2018년 06월
2018-07-01,1.5,1.91,2018년 07월
2018-08-01,1.5,1.91,2018년 08월
2018-09-01,1.5,1.95,2018년 09월
2018-10-01,1.5,2.19,2018년 10월
2018-11-01,1.75,2.2,2018년 11월
2018-12-01,1.75,2.27,2018년 12월
2019-01-01,1.75,2.4,2019년 01월
2019-02-01,1.75,2.4,2019년 02월
2019-03-01,1.75,2.41,2019년 03월
2019-04-01,1.75,2.42,2019년 04월
2019-05-01,1.75,2.39,2019년 05월
2019-06-01,1.75,2.38,2019년 06월
2019-07-01,1.5,2.4,2019년 07월
2019-08-01,1.5,2.13,2019년 08월
2019-09-01,1.5,2.04,2019년 09월
2019-10-01,1.25,1.83,2019년 10월
2019-11-01,1.25,1.55,2019년 11월
2019-12-01,1.25,1.55,2019년 12월
2020-01-01,1.25,1.55,2020년 01월
2020-02-01,1.25,1.58,2020년 02월
2020-03-01,0.75,0.65,2020년 03월
2020-04-01,0.75,0.05,2020년 04월
2020-05-01,0.5,0.05,2020년 05월
2020-06-01,0.5,0.08,2020년 06월
2020-07-01,0.5,0.09,2020년 07월
2020-08-01,0.5,0.1,2020년 08월
2020-09-01,0.5,0.09,2020년 09월
2020-10-01,0.5,0.09,2020년 10월
2020-11-01,0.5,0.09,2020년 11월
2020-12-01,0.5,0.09,2020년 12월
2021-01-01,0.5,0.09,2021년 01월
2021-02-01,0.5,0.08,2021년 02월
2021-03-01,0.5,0.07,2021년 03월
2021-04-01,0.5,0.07,2021년 04월
2021-05-01,0.5,0.06,2021년 05월
2021-06-01,0.5,0.08,2021년 06월
2021-07-01,0.5,0.1,2021년 07월
2021-08-01,0.75,0.09,2021년 08월
2021-09-01,0.75,0.08,2021년 09월
2021-10-01,0.75,0.08,2021년 10월
2021-11-01,1.0,0.08,2021년 11월
2021-12-01,1.0,0.08,2021년 12월
2022-01-01,1.25,0.08,2022년 01월
2022-02-01,1.25,0.08,2022년 02월
2022-03-01,1.25,0.2,2022년 03월
2022-04-01,1.5,0.33,2022년 04월
2022-05-01,1.75,0.77,2022년 05월
2022-06-01,1.75,1.21,2022년 06월
2022-07-01,2.25,1.68,2022년 07월
