질문,답변
청약신청이 가능한 청약가능지역에는 어떤 곳들이 포함되나요?,"청약가능지역에는 산업단지, 서울(수도권 거주자에 한함), 행정중심복합도시 예정지역, 도청이전신도시 개발예정지구, 혁신도시개발예정지구, 기업도시개발구역, 평택시 등, 조정대상지역(위축지역) 등이 포함됩니다. 이러한 지역에서 공급하는 주택은 해당 주택건설지역에 거주하지 않는 성년자도 공급대상에 포함될 수 있습니다. 이 내용은 제4조(주택의 공급대상) 제3항과 관련된 문서 내용에 기반합니다.\n- [page_3.png, page_4.png]\n"
"행정구역 변경으로 주택건설지역이 변경되었을 때, 주택 공급대상에 포함될 수 있는 사람은 누구인가요?","행정구역의 변경으로 주택건설지역이 변경되는 경우, 변경 전의 주택건설지역 또는 그 중 일정한 구역에 거주하는 성년자를 공급대상에 포함하게 할 수 있습니다. 이는 특별시장, 광역시장, 특별자치시장, 시장 또는 군수가 결정할 수 있으며, 관련 내용은 문서에서 제3항에 명시되어 있습니다.\n- [page_4.png]\n"
수도권에 거주하는 성년자가 다른 주택건설지역의 주택을 공급받으려면 어떤 조건을 충족해야 하나요?,"수도권에 거주하는 성년자가 다른 주택건설지역의 주택을 공급받으려면, 해당 지역이 청약가능지역으로 지정되어 있어야 합니다. 그러나, 청약가능지역에 거주한다고 해서 해당 주택건설지역 거주자와 동등하게 주택을 공급받을 기회가 주어지는 것은 아니며, 같은 순위에서는 해당 주택건설지역 거주자가 우선 공급받고 남은 주택이 있는 경우에만 주택을 공급받을 수 있습니다. 이 규정은 제4조(주택의 공급대상) 제3항에 따라 정해져 있습니다.\n- [page_4.png]\n"
청약신청 시 1인 1주택의 원칙이 적용되는 주택 유형은 무엇인가요?,"청약신청 시 1인 1주택의 원칙이 적용되는 주택 유형은 민영주택입니다. 다만, 토지임대부 분양주택인 경우에는 1세대 1주택의 기준으로 공급됩니다. 이 규정은 제4조(주택의 공급대상) 제1항제2호에 명시되어 있습니다.\n- [page_3.png]\n"
청약신청 시 우선 공급받을 수 있는 지역 거주자는 어떤 경우에 해당하나요?,"청약신청 시 우선 공급받을 수 있는 지역 거주자는 해당 주택건설지역에 거주하는 성년자입니다. 청약가능지역에 거주하는 경우에도 청약신청은 가능하지만, 같은 순위에서는 해당 주택건설지역 거주자가 우선적으로 주택을 공급받습니다. 남은 주택이 있는 경우에만 청약가능지역 거주자가 주택을 공급받을 수 있습니다. 이 규정은 제4조(주택의 공급대상) 제3항에 따라 정해져 있습니다.\n- [page_4.png]"
청약 당첨자 명단에서 삭제되는 경우는 어떤 상황들이 있나요?,"청약 당첨자 명단에서 삭제되는 경우는 다음과 같습니다: 세대주 및 세대원 전원이 해외로 이주하여 계약을 체결하지 않았거나 해약한 경우, 분양전환공공임대주택을 공급받은 후 상속이나 이혼으로 인해 주택을 명도하거나 입주자 지위를 이전한 경우, 사업주체의 파산이나 입주자모집승인 취소 등으로 입주금을 반환받거나 주택에 입주할 수 없게 된 경우, 법 제11조, 법 제15조, 도시 및 주거환경정비법 또는 빈집 및 소규모주택 정비에 관한 특례법에 따른 사업계획 승인 취소 등으로 주택을 공급받을 수 없게 된 경우, 제58조에 따라 당첨이 취소된 부적격 당첨자, 제55조의2에 따라 부부가 각각 당첨된 경우로서 당첨이 유효하지 않게 된 경우입니다. - [page_63.png]\n"
특별공급 신청 시 1순위 자격이 필요한 경우는 어떤 경우인가요?,"특별공급 신청 시 1순위 자격이 필요한 경우는 노부모부양 특별공급과 생애최초 주택 구입자 특별공급입니다. 이 경우 주택공급에 관한 규칙 제46조와 제43조에 따라 제27조, 제28조에 따른 1순위에 해당하는 자격이 필요합니다. - [page_64.png]\n"
투기과열지구 및 청약과열지역에서 1순위 청약 신청이 제한되는 경우는 어떤 경우인가요?,"투기과열지구 및 청약과열지역에서 1순위 청약 신청이 제한되는 경우는 과거 5년 이내에 무주택세대구성원 전원이 다른 주택의 당첨자가 되지 않았을 것을 요건으로 하는 국민주택 및 민영주택의 일반공급 신청 시 적용됩니다. 또한, 세대원 중 당첨자로 관리되고 있는 자가 있는 경우, 당첨일로부터 5년간 해당 지역에서 1순위 청약 신청 및 당첨이 제한됩니다. - [page_64.png]\n"
청약자격확인 시 본인의 제한사항을 어떻게 조회할 수 있나요?,"한국부동산원 청약홈(www.applyhome.co.kr) 홈페이지의 청약자격확인 - 청약제한사항 확인 메뉴를 통해 본인의 제한사항을 조회할 수 있습니다. 세대구성원 등록 시 세대원의 제한사항도 함께 확인할 수 있으며, 이 경우 세대원의 동의가 필요합니다. - [page_64.png]\n"
"부모님이 정비사업 조합원이었다면, 자녀는 어떤 청약 제한을 받게 되나요?","부모님이 정비사업의 관리처분계획인가일 당시 입주대상자로 확정되었거나, 지역주택조합의 사업계획 승인일 당시 입주대상자로 확정된 경우, 본인과 그 세대원은 당첨일로부터 5년간 투기과열지구 및 청약과열지역에서 1순위 청약 신청 및 당첨에 제한을 받게 됩니다. - [page_64.png]"
